Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Manipulation: Spreadsheet
1,1680108738958,29/03/2023 16:52:18,1680094338958,-4,29/03/2023 08:52:18,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1680108745588,29/03/2023 16:52:25,1680094345588,-4,29/03/2023 08:52:25,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,10485.600000023842,10480.567,10485.600000023842,10485.600000023842,10480.567,10485.600000023842,1,10485.600000023842,0,0,,Click Response,Response,3,object-6,1,main,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,
3,1680108754431,29/03/2023 16:52:34,1680094354431,-4,29/03/2023 08:52:34,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,8848.832999976159,8832.689000000002,8848.832999976159,8848.832999976159,8832.689000000002,8848.832999976159,1,8848.832999976159,0,0,,Click Response,Response,3,object-6,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.",Ming aventureiros,aventureiros Ming,opt_b,
4,1680108759658,29/03/2023 16:52:39,1680094359658,-4,29/03/2023 08:52:39,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,5243.344000023841,5233.3089999999975,5243.344000023841,5243.344000023841,5233.3089999999975,5243.344000023841,1,5243.344000023841,0,0,,Click Response,Response,2,object-5,1,main,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra'.",estudantes estudiosos,estudiosos estudantes,opt_a,
5,1680108765341,29/03/2023 16:52:45,1680094365341,-4,29/03/2023 08:52:45,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,5692.935000000001,5682.993000000002,5692.935000000001,5692.935000000001,5682.993000000002,5692.935000000001,1,5692.935000000001,0,0,,Click Response,Response,2,object-5,1,main,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,
6,1680108768551,29/03/2023 16:52:48,1680094368551,-4,29/03/2023 08:52:48,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,3220.2419999523154,3216.7069999999985,3220.2419999523154,3220.2419999523154,3216.7069999999985,3220.2419999523154,1,3220.2419999523154,0,0,,Click Response,Response,3,object-6,1,main,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,
7,1680108776732,29/03/2023 16:52:56,1680094376732,-4,29/03/2023 08:52:56,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,8183.35100000001,8166.802000000003,8183.35100000001,8183.35100000001,8166.802000000003,8183.35100000001,1,8183.35100000001,0,0,,Click Response,Response,3,object-6,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada.",super-heróis corajosos,corajosos super-heróis,opt_b,
8,1680108781409,29/03/2023 16:53:01,1680094381409,-4,29/03/2023 08:53:01,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,4694.633000047681,4683.478999999999,4694.633000047681,4694.633000047681,4683.478999999999,4694.633000047681,1,4694.633000047681,0,0,,Click Response,Response,2,object-5,1,main,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,
9,1680108787529,29/03/2023 16:53:07,1680094387529,-4,29/03/2023 08:53:07,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,6131.654000047682,6116.348999999995,6131.654000047682,6131.654000047682,6116.348999999995,6131.654000047682,1,6131.654000047682,0,0,,Click Response,Response,2,object-5,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.",pais orgulhosos,orgulhosos pais,opt_a,
10,1680108793024,29/03/2023 16:53:13,1680094393024,-4,29/03/2023 08:53:13,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,5510.105000000003,5500.261000000006,5510.105000000003,5510.105000000003,5500.261000000006,5510.105000000003,1,5510.105000000003,0,0,,Click Response,Response,2,object-5,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.,pais afetuosos,afetuosos pais,opt_a,
