Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Manipulation: Spreadsheet
11,1680108796913,29/03/2023 16:53:16,1680094396913,-4,29/03/2023 08:53:16,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,3898.2439999761555,3883.3889999999956,3898.2439999761555,3898.2439999761555,3883.3889999999956,3898.2439999761555,1,3898.2439999761555,0,0,,Click Response,Response,3,object-6,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
12,1680108796916,29/03/2023 16:53:16,1680094396916,-4,29/03/2023 08:53:16,127819,12,task-t5nj,,28524256,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,collocation,7,ABC,AB,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,
1,1680110814025,29/03/2023 17:26:54,1680096414025,-4,29/03/2023 09:26:54,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1680110827353,29/03/2023 17:27:07,1680096427353,-4,29/03/2023 09:27:07,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,13340.609,13332.288,13340.609,13340.609,13332.288,13340.609,1,13340.609,0,0,,Click Response,Response,3,object-6,1,main,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,
3,1680110827440,29/03/2023 17:27:07,1680096427440,-4,29/03/2023 09:27:07,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,92.71800000000076,84.38600000000042,92.71800000000076,92.71800000000076,84.38600000000042,92.71800000000076,1,92.71800000000076,0,0,,Click Response,Response,3,object-6,1,main,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,
4,1680110838887,29/03/2023 17:27:18,1680096438887,-4,29/03/2023 09:27:18,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,11459.45400000596,11428.011999999999,11459.45400000596,11459.45400000596,11428.011999999999,11459.45400000596,1,11459.45400000596,0,0,,Click Response,Response,2,object-5,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
5,1680110838909,29/03/2023 17:27:18,1680096438909,-4,29/03/2023 09:27:18,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,41.67399999999907,0,41.67399999999907,41.67399999999907,0,41.67399999999907,1,41.67399999999907,0,0,,Click Response,Response,2,object-5,1,main,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,
6,1680110854283,29/03/2023 17:27:34,1680096454283,-4,29/03/2023 09:27:34,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,15427.14199999404,15387.592000000004,15427.14199999404,15427.14199999404,15387.592000000004,15427.14199999404,1,15427.14199999404,0,0,,Click Response,Response,2,object-5,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.,pais afetuosos,afetuosos pais,opt_a,
7,1680110854332,29/03/2023 17:27:34,1680096454332,-4,29/03/2023 09:27:34,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,88.74999999701686,80.68599999999424,88.74999999701686,88.74999999701686,80.68599999999424,88.74999999701686,1,88.74999999701686,0,0,,Click Response,Response,2,object-5,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada.",super-heróis corajosos,corajosos super-heróis,opt_b,
8,1680110866259,29/03/2023 17:27:46,1680096466259,-4,29/03/2023 09:27:46,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,7,main,Screen 1,cnypgd,1,response,B,11934.863999994042,11929.476000000002,11934.863999994042,11934.863999994042,11929.476000000002,11934.863999994042,1,11934.863999994042,0,0,,Click Response,Response,3,object-6,1,main,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,
9,1680110866302,29/03/2023 17:27:46,1680096466302,-4,29/03/2023 09:27:46,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,8,main,Screen 1,cnypgd,1,response,B,46.82399999999325,38.48999999999796,46.82399999999325,46.82399999999325,38.48999999999796,46.82399999999325,1,46.82399999999325,0,0,,Click Response,Response,3,object-6,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.",pais orgulhosos,orgulhosos pais,opt_a,
10,1680110877902,29/03/2023 17:27:57,1680096477902,-4,29/03/2023 09:27:57,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,11609.597999997022,11594.731000000007,11609.597999997022,11609.597999997022,11594.731000000007,11609.597999997022,1,11609.597999997022,0,0,,Click Response,Response,2,object-5,1,main,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra'.",estudantes estudiosos,estudiosos estudantes,opt_a,
11,1680110877956,29/03/2023 17:27:57,1680096477956,-4,29/03/2023 09:27:57,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,41.98000000001048,0,41.98000000001048,41.98000000001048,0,41.98000000001048,1,41.98000000001048,0,0,,Click Response,Response,2,object-5,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.",Ming aventureiros,aventureiros Ming,opt_b,
12,1680110877959,29/03/2023 17:27:57,1680096477959,-4,29/03/2023 09:27:57,127819,12,task-t5nj,,28525931,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,collocation,7,BAC,AB,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,
1,1680093176560,29/03/2023 12:32:56,1680096776560,1,29/03/2023 14:32:56,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1680093188293,29/03/2023 12:33:08,1680096788293,1,29/03/2023 14:33:08,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,11746.172999904633,11730.451000000001,11746.172999904633,11746.172999904633,11730.451000000001,11746.172999904633,1,11746.172999904633,0,0,,Click Response,Response,2,object-5,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.",pais orgulhosos,orgulhosos pais,opt_a,
3,1680093201834,29/03/2023 12:33:21,1680096801834,1,29/03/2023 14:33:21,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,13556.622,13547.105,13556.622,13556.622,13547.105,13556.622,1,13556.622,0,0,,Click Response,Response,2,object-5,1,main,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra'.",estudantes estudiosos,estudiosos estudantes,opt_a,
4,1680093207420,29/03/2023 12:33:27,1680096807420,1,29/03/2023 14:33:27,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,5596.116999904632,5581.290000000001,5596.116999904632,5596.116999904632,5581.290000000001,5596.116999904632,1,5596.116999904632,0,0,,Click Response,Response,3,object-6,1,main,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,
5,1680093225246,29/03/2023 12:33:45,1680096825246,1,29/03/2023 14:33:45,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,17840.027000190734,17829.345999999998,17840.027000190734,17840.027000190734,17829.345999999998,17840.027000190734,1,17840.027000190734,0,0,,Click Response,Response,2,object-5,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.",Ming aventureiros,aventureiros Ming,opt_b,
6,1680093242823,29/03/2023 12:34:02,1680096842823,1,29/03/2023 14:34:02,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,17587.980999904634,17578.538000000008,17587.980999904634,17587.980999904634,17578.538000000008,17587.980999904634,1,17587.980999904634,0,0,,Click Response,Response,3,object-6,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
7,1680093252334,29/03/2023 12:34:12,1680096852334,1,29/03/2023 14:34:12,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,9520.643000190728,9513.960999999996,9520.643000190728,9520.643000190728,9513.960999999996,9520.643000190728,1,9520.643000190728,0,0,,Click Response,Response,3,object-6,1,main,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,
8,1680093259667,29/03/2023 12:34:19,1680096859667,1,29/03/2023 14:34:19,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,7339.0820002861,7332.070999999996,7339.0820002861,7339.0820002861,7332.070999999996,7339.0820002861,1,7339.0820002861,0,0,,Click Response,Response,2,object-5,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.,pais afetuosos,afetuosos pais,opt_a,
9,1680093266361,29/03/2023 12:34:26,1680096866361,1,29/03/2023 14:34:26,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,6701.111000190736,6697.684999999998,6701.111000190736,6701.111000190736,6697.684999999998,6701.111000190736,1,6701.111000190736,0,0,,Click Response,Response,2,object-5,1,main,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,
10,1680093272730,29/03/2023 12:34:32,1680096872730,1,29/03/2023 14:34:32,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,6372.626000000004,6365.023000000001,6372.626000000004,6372.626000000004,6365.023000000001,6372.626000000004,1,6372.626000000004,0,0,,Click Response,Response,2,object-5,1,main,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,
11,1680093280585,29/03/2023 12:34:40,1680096880585,1,29/03/2023 14:34:40,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,7862.50300009537,7847.987999999998,7862.50300009537,7862.50300009537,7847.987999999998,7862.50300009537,1,7862.50300009537,0,0,,Click Response,Response,2,object-5,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada.",super-heróis corajosos,corajosos super-heróis,opt_b,
12,1680093280586,29/03/2023 12:34:40,1680096880586,1,29/03/2023 14:34:40,127819,12,task-t5nj,,28526161,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,collocation,7,BCA,BA,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,
1,1680111371803,29/03/2023 17:36:11,1680096971803,-4,29/03/2023 09:36:11,127819,12,task-t5nj,,28526266,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,collocation,7,CAB,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1680111381353,29/03/2023 17:36:21,1680096981353,-4,29/03/2023 09:36:21,127819,12,task-t5nj,,28526266,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,collocation,7,CAB,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,9577.180000000746,9565.894,9577.180000000746,9577.180000000746,9565.894,9577.180000000746,1,9577.180000000746,0,0,,Click Response,Response,2,object-5,1,main,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,
3,1680111381513,29/03/2023 17:36:21,1680096981513,-4,29/03/2023 09:36:21,127819,12,task-t5nj,,28526266,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,collocation,7,CAB,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,167.74900000000162,151.13300000000163,167.74900000000162,167.74900000000162,151.13300000000163,167.74900000000162,1,167.74900000000162,0,0,,Click Response,Response,2,object-5,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras.",Ming aventureiros,aventureiros Ming,opt_b,
4,1680111386001,29/03/2023 17:36:26,1680096986001,-4,29/03/2023 09:36:26,127819,12,task-t5nj,,28526266,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,collocation,7,CAB,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,4508.453000001489,4502.842000000001,4508.453000001489,4508.453000001489,4502.842000000001,4508.453000001489,1,4508.453000001489,0,0,,Click Response,Response,2,object-5,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
5,1680111386092,29/03/2023 17:36:26,1680096986092,-4,29/03/2023 09:36:26,127819,12,task-t5nj,,28526266,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,collocation,7,CAB,AB,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,97.41099999850849,83.06499999999869,97.41099999850849,97.41099999850849,83.06499999999869,97.41099999850849,1,97.41099999850849,0,0,,Click Response,Response,2,object-5,1,main,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,
6,1680111387727,29/03/2023 17:36:27,1680096987727,-4,29/03/2023 09:36:27,127819,12,task-t5nj,,28526266,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,collocation,7,CAB,AB,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,1642.893,1626.2829999999994,1642.893,1642.893,1626.2829999999994,1642.893,1,1642.893,0,0,,Click Response,Response,3,object-6,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer.,pais afetuosos,afetuosos pais,opt_a,
7,1680111387837,29/03/2023 17:36:27,1680096987837,-4,29/03/2023 09:36:27,127819,12,task-t5nj,,28526266,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,collocation,7,CAB,AB,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,132.8629999992554,116.27000000000044,132.8629999992554,132.8629999992554,116.27000000000044,132.8629999992554,1,132.8629999992554,0,0,,Click Response,Response,3,object-6,1,main,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,
8,1680111388510,29/03/2023 17:36:28,1680096988510,-4,29/03/2023 09:36:28,127819,12,task-t5nj,,28526266,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,collocation,7,CAB,AB,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,685.7039999999979,668.9399999999987,685.7039999999979,685.7039999999979,668.9399999999987,685.7039999999979,1,685.7039999999979,0,0,,Click Response,Response,2,object-5,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos.",pais orgulhosos,orgulhosos pais,opt_a,
9,1680111388553,29/03/2023 17:36:28,1680096988553,-4,29/03/2023 09:36:28,127819,12,task-t5nj,,28526266,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,collocation,7,CAB,AB,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,63.553000001491455,50.28900000000067,63.553000001491455,63.553000001491455,50.28900000000067,63.553000001491455,1,63.553000001491455,0,0,,Click Response,Response,2,object-5,1,main,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,
10,1680111389257,29/03/2023 17:36:29,1680096989257,-4,29/03/2023 09:36:29,127819,12,task-t5nj,,28526266,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,collocation,7,CAB,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,716.9640000007457,709.3199999999997,716.9640000007457,716.9640000007457,709.3199999999997,716.9640000007457,1,716.9640000007457,0,0,,Click Response,Response,2,object-5,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada.",super-heróis corajosos,corajosos super-heróis,opt_b,
