Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: item,Spreadsheet: ANSWER,Spreadsheet: targetresponse,Spreadsheet: type,Manipulation: Spreadsheet,Store: Accuracy,Store: incorrect
1,1680011414637,28/03/2023 13:50:14,1680015014637,1,28/03/2023 15:50:14,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,
2,1680011506519,28/03/2023 13:51:46,1680015106519,1,28/03/2023 15:51:46,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,1,instructions,Screen 1,pemmcz,1,continue,,91897.87200009536,91887.32299999999,91897.87200009536,91897.87200009536,91887.32299999999,91897.87200009536,1,0,91897.87200009536,0,0,,Click To Continue,Continue Button,2,object-5,instructions,,,,,,,,
3,1680011507767,28/03/2023 13:51:47,1680015107767,1,28/03/2023 15:51:47,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,1,main,main,l6tere,1,response,tick.png,1258.3490000476886,1249.9500000000116,1258.3490000476886,1258.3490000476886,1249.9500000000116,1258.3490000476886,0,0,1258.3490000476886,0,0,,Click Response,Response,1,object-18,main,1,party,cross.png,non,filler,,,
4,1680011509116,28/03/2023 13:51:49,1680015109116,1,28/03/2023 15:51:49,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,2,main,main,l6tere,1,response,cross.png,1357.7990001430444,1350.7880000000005,1357.7990001430444,1357.7990001430444,1350.7880000000005,1357.7990001430444,1,0,1357.7990001430444,0,0,,Click Response,Response,2,object-19,main,1,dogify,cross.png,non,filler,,,
5,1680011510248,28/03/2023 13:51:50,1680015110248,1,28/03/2023 15:51:50,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,3,main,main,l6tere,1,response,cross.png,1139.210999952309,1133.287999999986,1139.210999952309,1139.210999952309,1133.287999999986,1139.210999952309,1,0,1139.210999952309,0,0,,Click Response,Response,2,object-19,main,1,bargoin,cross.png,word,filler,,,
6,1680011511549,28/03/2023 13:51:51,1680015111549,1,28/03/2023 15:51:51,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,4,main,main,l6tere,1,response,cross.png,1307.0230000953743,1299.948000000004,1307.0230000953743,1307.0230000953743,1299.948000000004,1307.0230000953743,1,0,1307.0230000953743,0,0,,Click Response,Response,2,object-19,main,2,descrtiption,cross.png,non,non,,,
7,1680011512615,28/03/2023 13:51:52,1680015112615,1,28/03/2023 15:51:52,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,5,main,main,l6tere,1,response,cross.png,1073.275000143054,1066.6239999999962,1073.275000143054,1073.275000143054,1066.6239999999962,1073.275000143054,1,0,1073.275000143054,0,0,,Click Response,Response,2,object-19,main,2,proom,cross.png,non,non,,,
8,1680011513615,28/03/2023 13:51:53,1680015113615,1,28/03/2023 15:51:53,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,6,main,main,l6tere,1,response,cross.png,1006.1510001430579,999.9600000000064,1006.1510001430579,1006.1510001430579,999.9600000000064,1006.1510001430579,1,0,1006.1510001430579,0,0,,Click Response,Response,2,object-19,main,2,spaunch,cross.png,non,non,,,
9,1680011514648,28/03/2023 13:51:54,1680015114648,1,28/03/2023 15:51:54,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,7,main,main,l6tere,1,response,tick.png,1039.5910000000003,1033.2920000000013,1039.5910000000003,1039.5910000000003,1033.2920000000013,1039.5910000000003,1,0,1039.5910000000003,0,0,,Click Response,Response,1,object-18,main,2,hurricane,tick.png,word,word,,,
10,1680011515783,28/03/2023 13:51:55,1680015115783,1,28/03/2023 15:51:55,127819,11,task-fg99,,28492168,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,English lextale,4,ABC,AB,eng,8,main,main,l6tere,1,response,cross.png,1141.5989999523154,1133.2880000000005,1141.5989999523154,1141.5989999523154,1133.2880000000005,1141.5989999523154,0,0,1141.5989999523154,0,0,,Click Response,Response,2,object-19,main,2,shin,tick.png,word,word,,,
