Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1680108395528,29/03/2023 16:46:35,1680093995528,-4,29/03/2023 08:46:35,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,,,,,,,BEGIN,,,,,
2,1680108418443,29/03/2023 16:46:58,1680094018443,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,,continue,,,,,screen,0,screen
3,1680108418449,29/03/2023 16:46:58,1680094018449,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",action,value,Portuguese,,English|Spanish|Portuguese,Multiple Choice,1,object-2
4,1680108418451,29/03/2023 16:46:58,1680094018451,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",action,quantised,3,,English|Spanish|Portuguese,Multiple Choice,1,object-2
5,1680108418453,29/03/2023 16:46:58,1680094018453,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",action,value,Yes,,Yes|No,Multiple Choice,2,object-3
6,1680108418453,29/03/2023 16:46:58,1680094018453,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",action,quantised,1,,Yes|No,Multiple Choice,2,object-3
7,1680108418454,29/03/2023 16:46:58,1680094018454,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",action,value,11,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
8,1680108418455,29/03/2023 16:46:58,1680094018455,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",action,quantised,12,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
9,1680108418457,29/03/2023 16:46:58,1680094018457,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",action,value,12,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
10,1680108418458,29/03/2023 16:46:58,1680094018458,-4,29/03/2023 08:46:58,127819,12,questionnaire-zbjj,,28523939,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",action,quantised,13,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
