"","num Df","den Df","MSE","F","ges","Pr(>F)"
"L1",1,213,1.54738926311492,0.466828899171135,0.00117725263556151,0.495192170665695
"pre_post",1,213,1.32998571136967,36.0602032760023,0.0725735795143245,8.15985124548348e-09
"L1:pre_post",1,213,1.32998571136967,1.36845095920059,0.00296082249543447,0.243385511131129
