Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1680108803596,29/03/2023 16:53:23,1680094403596,-4,29/03/2023 08:53:23,127819,12,task-n1zx,,28524315,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Prolific code,2,ABC,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1680108808603,29/03/2023 16:53:28,1680094408603,-4,29/03/2023 08:53:28,127819,12,task-n1zx,,28524315,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Prolific code,2,ABC,AB,Spreadsheet1,1,code,Screen 1,gveb5j,1,continue,,5033.303,5016.84,5033.303,5033.303,5016.84,5033.303,1,5033.303,0,0,,Click To Continue,Continue Button,2,object-4,code,
3,1680108808607,29/03/2023 16:53:28,1680094408607,-4,29/03/2023 08:53:28,127819,12,task-n1zx,,28524315,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Prolific code,2,ABC,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1680110881686,29/03/2023 17:28:01,1680096481686,-4,29/03/2023 09:28:01,127819,12,task-n1zx,,28525976,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Prolific code,2,BAC,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1680110888092,29/03/2023 17:28:08,1680096488092,-4,29/03/2023 09:28:08,127819,12,task-n1zx,,28525976,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Prolific code,2,BAC,AB,Spreadsheet1,1,code,Screen 1,gveb5j,1,continue,,6413.812,6405.481,6413.812,6413.812,6405.481,6413.812,1,6413.812,0,0,,Click To Continue,Continue Button,2,object-4,code,
3,1680110888095,29/03/2023 17:28:08,1680096488095,-4,29/03/2023 09:28:08,127819,12,task-n1zx,,28525976,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Prolific code,2,BAC,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1680111396227,29/03/2023 17:36:36,1680096996227,-4,29/03/2023 09:36:36,127819,12,task-n1zx,,28526286,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,Prolific code,2,CAB,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1680111409445,29/03/2023 17:36:49,1680097009445,-4,29/03/2023 09:36:49,127819,12,task-n1zx,,28526286,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,Prolific code,2,CAB,AB,Spreadsheet1,1,code,Screen 1,gveb5j,1,continue,,13285.624999997764,13271.656,13285.624999997764,13285.624999997764,13271.656,13285.624999997764,1,13285.624999997764,0,0,,Click To Continue,Continue Button,2,object-4,code,
3,1680111409462,29/03/2023 17:36:49,1680097009462,-4,29/03/2023 09:36:49,127819,12,task-n1zx,,28526286,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,Prolific code,2,CAB,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1680093412131,29/03/2023 12:36:52,1680097012131,1,29/03/2023 14:36:52,127819,12,task-n1zx,,28526303,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Prolific code,2,BCA,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1680093418353,29/03/2023 12:36:58,1680097018353,1,29/03/2023 14:36:58,127819,12,task-n1zx,,28526303,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1422x684,,Prolific code,2,BCA,BA,Spreadsheet1,1,code,Screen 1,gveb5j,1,continue,,6231.780999999999,6215.090999999999,6231.780999999999,6231.780999999999,6215.090999999999,6231.780999999999,1,6231.780999999999,0,0,,Click To Continue,Continue Button,2,object-4,code,
