Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1680108373868,29/03/2023 16:46:13,1680093973868,-4,29/03/2023 08:46:13,127819,12,task-kew6,,28523924,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,instructions,2,ABC,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1680108389170,29/03/2023 16:46:29,1680093989170,-4,29/03/2023 08:46:29,127819,12,task-kew6,,28523924,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,instructions,2,ABC,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,20856.911999999997,20840.083,20856.911999999997,20856.911999999997,20840.083,20856.911999999997,1,20856.911999999997,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680108389180,29/03/2023 16:46:29,1680093989180,-4,29/03/2023 08:46:29,127819,12,task-kew6,,28523924,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,instructions,2,ABC,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1680110506598,29/03/2023 17:21:46,1680096106598,-4,29/03/2023 09:21:46,127819,12,task-kew6,,28525718,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,instructions,2,BAC,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1680110513143,29/03/2023 17:21:53,1680096113143,-4,29/03/2023 09:21:53,127819,12,task-kew6,,28525718,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,instructions,2,BAC,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,6559.201999994039,6553.8730000000005,6559.201999994039,6559.201999994039,6553.8730000000005,6559.201999994039,1,6559.201999994039,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680110513146,29/03/2023 17:21:53,1680096113146,-4,29/03/2023 09:21:53,127819,12,task-kew6,,28525718,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,instructions,2,BAC,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1680092551107,29/03/2023 12:22:31,1680096151107,1,29/03/2023 14:22:31,127819,12,task-kew6,,28525745,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,instructions,2,BCA,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
2,1680092561993,29/03/2023 12:22:41,1680096161993,1,29/03/2023 14:22:41,127819,12,task-kew6,,28525745,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,instructions,2,BCA,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,10901.740999713897,10897.486,10901.740999713897,10901.740999713897,10897.486,10901.740999713897,1,10901.740999713897,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680092561998,29/03/2023 12:22:41,1680096161998,1,29/03/2023 14:22:41,127819,12,task-kew6,,28525745,BLIND,8477809,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x616,,instructions,2,BCA,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,
1,1680111057091,29/03/2023 17:30:57,1680096657091,-4,29/03/2023 09:30:57,127819,12,task-kew6,,28526067,BLIND,8477895,,complete,,,mobile,undefined TMRVL4G,Android 11,Chrome 111.0.0.0,412x915,412x779,,instructions,2,CAB,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,
