Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1680012457112,28/03/2023 14:07:37,1680016057112,1,28/03/2023 16:07:37,127819,11,task-n1zx,,28492824,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Prolific code,2,ABC,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680012549877,28/03/2023 14:09:09,1680016149877,1,28/03/2023 16:09:09,127819,11,task-n1zx,,28492824,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Prolific code,2,ABC,AB,Spreadsheet1,1,code,Screen 1,gveb5j,1,continue,,92778.25500019074,92769.886,92778.25500019074,92778.25500019074,92769.886,92778.25500019074,1,0,92778.25500019074,0,0,,Click To Continue,Continue Button,2,object-4,code,
3,1680012549879,28/03/2023 14:09:09,1680016149879,1,28/03/2023 16:09:09,127819,11,task-n1zx,,28492824,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Prolific code,2,ABC,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680043235824,28/03/2023 22:40:35,1680018035824,-7,28/03/2023 08:40:35,127819,11,task-n1zx,,28494631,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Prolific code,2,BAC,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680043240827,28/03/2023 22:40:40,1680018040827,-7,28/03/2023 08:40:40,127819,11,task-n1zx,,28494631,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Prolific code,2,BAC,BA,Spreadsheet1,1,code,Screen 1,gveb5j,1,continue,,5008,4985,5008,5008,4985,5008,1,0,5008,0,0,,Click To Continue,Continue Button,2,object-4,code,
3,1680043240832,28/03/2023 22:40:40,1680018040832,-7,28/03/2023 08:40:40,127819,11,task-n1zx,,28494631,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,Prolific code,2,BAC,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680034777136,28/03/2023 20:19:37,1680020377136,-4,28/03/2023 12:19:37,127819,11,task-n1zx,,28496816,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,Prolific code,2,BCA,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680034784757,28/03/2023 20:19:44,1680020384757,-4,28/03/2023 12:19:44,127819,11,task-n1zx,,28496816,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,Prolific code,2,BCA,AB,Spreadsheet1,1,code,Screen 1,gveb5j,1,continue,,7633.891,7617.224,7633.891,7633.891,7617.224,7633.891,1,0,7633.891,0,0,,Click To Continue,Continue Button,2,object-4,code,
3,1680034784758,28/03/2023 20:19:44,1680020384758,-4,28/03/2023 12:19:44,127819,11,task-n1zx,,28496816,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,Prolific code,2,BCA,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680046348845,28/03/2023 23:32:28,1680021148845,-7,28/03/2023 09:32:28,127819,11,task-n1zx,,28497611,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,Prolific code,2,ABC,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680046354066,28/03/2023 23:32:34,1680021154066,-7,28/03/2023 09:32:34,127819,11,task-n1zx,,28497611,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,Prolific code,2,ABC,BA,Spreadsheet1,1,code,Screen 1,gveb5j,1,continue,,5242.554999988079,5232.48,5242.554999988079,5242.554999988079,5232.48,5242.554999988079,1,0,5242.554999988079,0,0,,Click To Continue,Continue Button,2,object-4,code,
3,1680046354067,28/03/2023 23:32:34,1680021154067,-7,28/03/2023 09:32:34,127819,11,task-n1zx,,28497611,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,Prolific code,2,ABC,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680040684551,28/03/2023 21:58:04,1680022684551,-5,28/03/2023 11:58:04,127819,11,task-n1zx,,28498646,BLIND,8470070,,complete,,,mobile,Apple iPhone,iOS 16.3,Chrome 98.0.4758.97,390x844,390x669,,Prolific code,2,ACB,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680040689998,28/03/2023 21:58:09,1680022689998,-5,28/03/2023 11:58:09,127819,11,task-n1zx,,28498646,BLIND,8470070,,complete,,,mobile,Apple iPhone,iOS 16.3,Chrome 98.0.4758.97,390x844,390x669,,Prolific code,2,ACB,BA,Spreadsheet1,1,code,Screen 1,gveb5j,1,continue,,5437,5421,5437,5437,5421,5437,1,0,5437,0,0,,Click To Continue,Continue Button,2,object-4,code,
3,1680040690004,28/03/2023 21:58:10,1680022690004,-5,28/03/2023 11:58:10,127819,11,task-n1zx,,28498646,BLIND,8470070,,complete,,,mobile,Apple iPhone,iOS 16.3,Chrome 98.0.4758.97,390x844,390x669,,Prolific code,2,ACB,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680037389790,28/03/2023 21:03:09,1680022989790,-4,28/03/2023 13:03:09,127819,11,task-n1zx,,28498805,BLIND,8470256,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2048x1057,,Prolific code,2,CAB,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680037405917,28/03/2023 21:03:25,1680023005917,-4,28/03/2023 13:03:25,127819,11,task-n1zx,,28498805,BLIND,8470256,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2048x1057,,Prolific code,2,CAB,AB,Spreadsheet1,1,code,Screen 1,gveb5j,1,continue,,16137.22700001192,16134.416000000001,16137.22700001192,16137.22700001192,16134.416000000001,16137.22700001192,1,0,16137.22700001192,0,0,,Click To Continue,Continue Button,2,object-4,code,
3,1680037405918,28/03/2023 21:03:25,1680023005918,-4,28/03/2023 13:03:25,127819,11,task-n1zx,,28498805,BLIND,8470256,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,2048x1057,,Prolific code,2,CAB,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680037723384,28/03/2023 21:08:43,1680023323384,-4,28/03/2023 13:08:43,127819,11,task-n1zx,,28498982,BLIND,8470276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1440x900,1440x789,,Prolific code,2,ABC,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680037731985,28/03/2023 21:08:51,1680023331985,-4,28/03/2023 13:08:51,127819,11,task-n1zx,,28498982,BLIND,8470276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1440x900,1440x789,,Prolific code,2,ABC,AB,Spreadsheet1,1,code,Screen 1,gveb5j,1,continue,,8606.197000000093,8597.091,8606.197000000093,8606.197000000093,8597.091,8606.197000000093,1,0,8606.197000000093,0,0,,Click To Continue,Continue Button,2,object-4,code,
3,1680037731987,28/03/2023 21:08:51,1680023331987,-4,28/03/2023 13:08:51,127819,11,task-n1zx,,28498982,BLIND,8470276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1440x900,1440x789,,Prolific code,2,ABC,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
