Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: item,Spreadsheet: ANSWER,Spreadsheet: targetresponse,Spreadsheet: type,Manipulation: Spreadsheet,Store: Accuracy,Store: incorrect
1,1680011584117,28/03/2023 13:53:04,1680015184117,1,28/03/2023 15:53:04,127819,11,task-6d1f,,28492310,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Spanish lextale,4,ABC,AB,sp,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,
2,1680011652023,28/03/2023 13:54:12,1680015252023,1,28/03/2023 15:54:12,127819,11,task-6d1f,,28492310,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Spanish lextale,4,ABC,AB,sp,1,instructions,Screen 1,pemmcz,1,continue,,67915.54099980927,67902.685,67915.54099980927,67915.54099980927,67902.685,67915.54099980927,1,0,67915.54099980927,0,0,,Click To Continue,Continue Button,2,object-5,instructions,,,,,,,,,
3,1680011655666,28/03/2023 13:54:15,1680015255666,1,28/03/2023 15:54:15,127819,11,task-6d1f,,28492310,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Spanish lextale,4,ABC,AB,sp,1,main,main,l6tere,1,response,tick.png,3656.455999952319,3649.8540000000066,3656.455999952319,3656.455999952319,3649.8540000000066,3656.455999952319,0,0,3656.455999952319,0,0,,Click Response,Response,1,object-18,main,,1,depiste,cross.png,word,filler,,,
4,1680011656650,28/03/2023 13:54:16,1680015256650,1,28/03/2023 15:54:16,127819,11,task-6d1f,,28492310,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Spanish lextale,4,ABC,AB,sp,2,main,main,l6tere,1,response,tick.png,989.801999999996,983.2939999999944,989.801999999996,989.801999999996,983.2939999999944,989.801999999996,0,0,989.801999999996,0,0,,Click Response,Response,1,object-18,main,,1,sí,cross.png,non,filler,,,
5,1680011657733,28/03/2023 13:54:17,1680015257733,1,28/03/2023 15:54:17,127819,11,task-6d1f,,28492310,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Spanish lextale,4,ABC,AB,sp,3,main,main,l6tere,1,response,cross.png,1090.0080000000016,1083.2900000000081,1090.0080000000016,1090.0080000000016,1083.2900000000081,1090.0080000000016,1,0,1090.0080000000016,0,0,,Click Response,Response,2,object-19,main,,1,priba,cross.png,non,filler,,,
6,1680011658966,28/03/2023 13:54:18,1680015258966,1,28/03/2023 15:54:18,127819,11,task-6d1f,,28492310,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Spanish lextale,4,ABC,AB,sp,4,main,main,l6tere,1,response,tick.png,1239.817999904626,1233.2839999999997,1239.817999904626,1239.817999904626,1233.2839999999997,1239.817999904626,0,0,1239.817999904626,0,0,,Click Response,Response,1,object-18,main,,2,terzo,cross.png,non,non,,,
7,1680011660801,28/03/2023 13:54:20,1680015260801,1,28/03/2023 15:54:20,127819,11,task-6d1f,,28492310,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Spanish lextale,4,ABC,AB,sp,5,main,main,l6tere,1,response,tick.png,1841.0339999046264,1833.2599999999948,1841.0339999046264,1841.0339999046264,1833.2599999999948,1841.0339999046264,1,0,1841.0339999046264,0,0,,Click Response,Response,1,object-18,main,,2,pellizcar,tick.png,word,word,,,
8,1680011661903,28/03/2023 13:54:21,1680015261903,1,28/03/2023 15:54:21,127819,11,task-6d1f,,28492310,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Spanish lextale,4,ABC,AB,sp,6,main,main,l6tere,1,response,tick.png,1110.3739998092642,1099.9560000000056,1110.3739998092642,1110.3739998092642,1099.9560000000056,1110.3739998092642,1,0,1110.3739998092642,0,0,,Click Response,Response,1,object-18,main,,2,pulmones,tick.png,word,word,,,
9,1680011662920,28/03/2023 13:54:22,1680015262920,1,28/03/2023 15:54:22,127819,11,task-6d1f,,28492310,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Spanish lextale,4,ABC,AB,sp,7,main,main,l6tere,1,response,tick.png,1027.2179999999935,1016.6259999999893,1027.2179999999935,1027.2179999999935,1016.6259999999893,1027.2179999999935,0,0,1027.2179999999935,0,0,,Click Response,Response,1,object-18,main,,2,batillón,cross.png,non,non,,,
10,1680011663649,28/03/2023 13:54:23,1680015263649,1,28/03/2023 15:54:23,127819,11,task-6d1f,,28492310,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Spanish lextale,4,ABC,AB,sp,8,main,main,l6tere,1,response,tick.png,740.1919999046368,733.3040000000037,740.1919999046368,740.1919999046368,733.3040000000037,740.1919999046368,1,0,740.1919999046368,0,0,,Click Response,Response,1,object-18,main,,2,zapato,tick.png,word,word,,,
