Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Spreadsheet: randomise_trials,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: __EMPTY_3,Manipulation: Spreadsheet
11,1680108731480,29/03/2023 16:52:11,1680094331480,-4,29/03/2023 08:52:11,127819,12,task-6yod,,28524212,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Interpretation,5,ABC,AB,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,5648.958999976159,5633.696000000004,5648.958999976159,5648.958999976159,5633.696000000004,5648.958999976159,1,5648.958999976159,0,0,,Click Response,Response,2,object-5,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,,post,Mi abuela tiene dos lÃ¡mparas antiguas en el salÃ³n.,,7,
12,1680108731484,29/03/2023 16:52:11,1680094331484,-4,29/03/2023 08:52:11,127819,12,task-6yod,,28524212,BLIND,8477468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Interpretation,5,ABC,AB,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,
1,1680110771540,29/03/2023 17:26:11,1680096371540,-4,29/03/2023 09:26:11,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1680110781216,29/03/2023 17:26:21,1680096381216,-4,29/03/2023 09:26:21,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,9681.49,9639.516,9681.49,9681.49,9639.516,9681.49,1,9681.49,0,0,,Click Response,Response,2,object-5,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_a,1,,post,En esa casa vive un hombre solo.,,10,
3,1680110783140,29/03/2023 17:26:23,1680096383140,-4,29/03/2023 09:26:23,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,1975.8549999999996,1968.905999999999,1975.8549999999996,1975.8549999999996,1968.905999999999,1975.8549999999996,1,1975.8549999999996,0,0,,Click Response,Response,3,object-6,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,,post,Mi abuela tiene dos lÃ¡mparas antiguas en el salÃ³n.,,7,
4,1680110783238,29/03/2023 17:26:23,1680096383238,-4,29/03/2023 09:26:23,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,104.94900000000052,101.13500000000022,104.94900000000052,104.94900000000052,101.13500000000022,104.94900000000052,1,104.94900000000052,0,0,,Click Response,Response,3,object-6,main,Meu amigo velho vem comer conosco,Meu amigo é meu amigo há muitos anos,Meu amigo não é jovem.,opt_b,1,,post,,,,
5,1680110784065,29/03/2023 17:26:24,1680096384065,-4,29/03/2023 09:26:24,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,831.2139999910596,826.3450000000012,831.2139999910596,831.2139999910596,826.3450000000012,831.2139999910596,1,831.2139999910596,0,0,,Click Response,Response,2,object-5,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,,pre,Mariela es una vieja amiga de Florencia.,,9,
6,1680110784140,29/03/2023 17:26:24,1680096384140,-4,29/03/2023 09:26:24,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,79.36899999105844,74.85299999999916,79.36899999105844,79.36899999105844,74.85299999999916,79.36899999105844,1,79.36899999105844,0,0,,Click Response,Response,2,object-5,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,1,,pre,Santiago comprÃ³ una nueva computadora.,,9,
7,1680110784683,29/03/2023 17:26:24,1680096384683,-4,29/03/2023 09:26:24,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,547.7159999940395,542.4940000000006,547.7159999940395,547.7159999940395,542.4940000000006,547.7159999940395,1,547.7159999940395,0,0,,Click Response,Response,2,object-5,main,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,1,,post,Marta es la persona Ãºnica de quien te hablÃ©.,,8,
8,1680110784773,29/03/2023 17:26:24,1680096384773,-4,29/03/2023 09:26:24,127819,12,task-6yod,,28525896,BLIND,8477801,,complete,,,mobile,Samsung SM-S918U1,Android 13,Chrome 111.0.0.0,384x824,384x693,,Interpretation,5,BAC,AB,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,95.12199999999939,91.37699999999859,95.12199999999939,95.12199999999939,91.37699999999859,95.12199999999939,1,95.12199999999939,0,0,,Click Response,Response,2,object-5,main,Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,1,,pre,Sus padres hablan una rara lengua.,,8,
