Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Spreadsheet: randomise_trials,Spreadsheet: ,Spreadsheet: __EMPTY,Spreadsheet: __EMPTY_1,Spreadsheet: __EMPTY_2,Spreadsheet: __EMPTY_3,Manipulation: Spreadsheet
10,1680210072823,30/03/2023 21:01:12,1680188472823,-6,30/03/2023 09:01:12,127819,12,task-6yod,,28558311,BLIND,8491744,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,Interpretation,5,BCA,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,6980.016000023839,6965.357999999993,6980.016000023839,6980.016000023839,6965.357999999993,6980.016000023839,1,6980.016000023839,0,0,,Click Response,Response,2,object-5,main,Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,1,,pre,Sus padres hablan una rara lengua.,,8,
11,1680210079628,30/03/2023 21:01:19,1680188479628,-6,30/03/2023 09:01:19,127819,12,task-6yod,,28558311,BLIND,8491744,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,Interpretation,5,BCA,AB,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,6819.658000023846,6815.699000000008,6819.658000023846,6819.658000023846,6815.699000000008,6819.658000023846,1,6819.658000023846,0,0,,Click Response,Response,3,object-6,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,,pre,Las grandes obras son impresionantes.,,8,
12,1680210079629,30/03/2023 21:01:19,1680188479629,-6,30/03/2023 09:01:19,127819,12,task-6yod,,28558311,BLIND,8491744,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,Interpretation,5,BCA,AB,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,
1,1680210116974,30/03/2023 21:01:56,1680188516974,-6,30/03/2023 09:01:56,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1680210132329,30/03/2023 21:02:12,1680188532329,-6,30/03/2023 09:02:12,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,15374.12500000596,15366.729000000001,15374.12500000596,15374.12500000596,15366.729000000001,15374.12500000596,1,15374.12500000596,0,0,,Click Response,Response,3,object-6,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,,pre,Mariela es una vieja amiga de Florencia.,,9,
3,1680210144184,30/03/2023 21:02:24,1680188544184,-6,30/03/2023 09:02:24,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,11862.69600000298,11849.955999999998,11862.69600000298,11862.69600000298,11849.955999999998,11862.69600000298,1,11862.69600000298,0,0,,Click Response,Response,3,object-6,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_a,1,,post,En esa casa vive un hombre solo.,,10,
4,1680210159320,30/03/2023 21:02:39,1680188559320,-6,30/03/2023 09:02:39,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,15149.240000002981,15133.446000000004,15149.240000002981,15149.240000002981,15133.446000000004,15149.240000002981,1,15149.240000002981,0,0,,Click Response,Response,3,object-6,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,,post,Mi abuela tiene dos lÃ¡mparas antiguas en el salÃ³n.,,7,
5,1680210169166,30/03/2023 21:02:49,1680188569166,-6,30/03/2023 09:02:49,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,9862.794000002978,9849.991999999998,9862.794000002978,9862.794000002978,9849.991999999998,9862.794000002978,1,9862.794000002978,0,0,,Click Response,Response,2,object-5,main,Meu amigo velho vem comer conosco,Meu amigo é meu amigo há muitos anos,Meu amigo não é jovem.,opt_b,1,,post,,,,
6,1680210175415,30/03/2023 21:02:55,1680188575415,-6,30/03/2023 09:02:55,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,6262.302000002979,6250.032999999996,6262.302000002979,6262.302000002979,6250.032999999996,6262.302000002979,1,6262.302000002979,0,0,,Click Response,Response,2,object-5,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,1,,pre,Santiago comprÃ³ una nueva computadora.,,9,
7,1680210185087,30/03/2023 21:03:05,1680188585087,-6,30/03/2023 09:03:05,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,9683.477000000014,9666.77900000001,9683.477000000014,9683.477000000014,9666.77900000001,9683.477000000014,1,9683.477000000014,0,0,,Click Response,Response,3,object-6,main,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,1,,pre,El mismo presidente hablÃ³ con la clase.,,8,
8,1680210198895,30/03/2023 21:03:18,1680188598895,-6,30/03/2023 09:03:18,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,13824.690000005954,13816.545999999988,13824.690000005954,13824.690000005954,13816.545999999988,13824.690000005954,1,13824.690000005954,0,0,,Click Response,Response,2,object-5,main,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,1,,post,Marta es la persona Ãºnica de quien te hablÃ©.,,8,
9,1680210205047,30/03/2023 21:03:25,1680188605047,-6,30/03/2023 09:03:25,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,8,main,Screen 1,cnypgd,1,response,B,6160.043999997026,6150.081000000006,6160.043999997026,6160.043999997026,6150.081000000006,6160.043999997026,1,6160.043999997026,0,0,,Click Response,Response,3,object-6,main,A pintura grande é muito cara.,A pintura é impressionante e custa muito dinheiro,A pintura é enorme e custa muito dinheiro,opt_b,1,,post,,,,
10,1680210219735,30/03/2023 21:03:39,1680188619735,-6,30/03/2023 09:03:39,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,B,14698.36300000298,14683.415999999997,14698.36300000298,14698.36300000298,14683.415999999997,14698.36300000298,1,14698.36300000298,0,0,,Click Response,Response,3,object-6,main,Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,1,,pre,Sus padres hablan una rara lengua.,,8,
11,1680210227471,30/03/2023 21:03:47,1680188627471,-6,30/03/2023 09:03:47,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,7749.744999999995,7733.184999999998,7749.744999999995,7749.744999999995,7733.184999999998,7749.744999999995,1,7749.744999999995,0,0,,Click Response,Response,3,object-6,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,,pre,Las grandes obras son impresionantes.,,8,
12,1680210227472,30/03/2023 21:03:47,1680188627472,-6,30/03/2023 09:03:47,127819,12,task-6yod,,28558405,BLIND,8491720,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,Interpretation,5,BAC,AB,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,
1,1680210246277,30/03/2023 21:04:06,1680188646277,-6,30/03/2023 09:04:06,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1680210265766,30/03/2023 21:04:25,1680188665766,-6,30/03/2023 09:04:25,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,22544.609,22527.929,22544.609,22544.609,22527.929,22544.609,1,22544.609,0,0,,Click Response,Response,3,object-6,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,,pre,Las grandes obras son impresionantes.,,8,
3,1680210280416,30/03/2023 21:04:40,1680188680416,-6,30/03/2023 09:04:40,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,14669.87099999702,14655.573999999997,14669.87099999702,14669.87099999702,14655.573999999997,14669.87099999702,1,14669.87099999702,0,0,,Click Response,Response,2,object-5,main,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,1,,pre,El mismo presidente hablÃ³ con la clase.,,8,
4,1680210305312,30/03/2023 21:05:05,1680188705312,-6,30/03/2023 09:05:05,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,24908.988000000005,24892.378000000004,24908.988000000005,24908.988000000005,24892.378000000004,24908.988000000005,1,24908.988000000005,0,0,,Click Response,Response,2,object-5,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,,post,Mi abuela tiene dos lÃ¡mparas antiguas en el salÃ³n.,,7,
5,1680210316017,30/03/2023 21:05:16,1680188716017,-6,30/03/2023 09:05:16,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,4,main,Screen 1,cnypgd,1,response,B,10724.319000002979,10720.613999999994,10724.319000002979,10724.319000002979,10720.613999999994,10724.319000002979,1,10724.319000002979,0,0,,Click Response,Response,3,object-6,main,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,1,,post,Marta es la persona Ãºnica de quien te hablÃ©.,,8,
6,1680210327137,30/03/2023 21:05:27,1680188727137,-6,30/03/2023 09:05:27,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,11123.705000002985,11120.334000000003,11123.705000002985,11123.705000002985,11120.334000000003,11123.705000002985,1,11123.705000002985,0,0,,Click Response,Response,3,object-6,main,Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,1,,pre,Sus padres hablan una rara lengua.,,8,
7,1680210342376,30/03/2023 21:05:42,1680188742376,-6,30/03/2023 09:05:42,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,15242.671000000002,15239.051999999996,15242.671000000002,15242.671000000002,15239.051999999996,15242.671000000002,1,15242.671000000002,0,0,,Click Response,Response,3,object-6,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,1,,pre,Santiago comprÃ³ una nueva computadora.,,9,
8,1680210353558,30/03/2023 21:05:53,1680188753558,-6,30/03/2023 09:05:53,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,11185.719000001496,11170.798999999999,11185.719000001496,11185.719000001496,11170.798999999999,11185.719000001496,1,11185.719000001496,0,0,,Click Response,Response,2,object-5,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_a,1,,post,En esa casa vive un hombre solo.,,10,
9,1680210370913,30/03/2023 21:06:10,1680188770913,-6,30/03/2023 09:06:10,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,17370.520000002987,17356.01000000001,17370.520000002987,17370.520000002987,17356.01000000001,17370.520000002987,1,17370.520000002987,0,0,,Click Response,Response,2,object-5,main,Meu amigo velho vem comer conosco,Meu amigo é meu amigo há muitos anos,Meu amigo não é jovem.,opt_b,1,,post,,,,
10,1680210376019,30/03/2023 21:06:16,1680188776019,-6,30/03/2023 09:06:16,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,5118.924000000028,5102.19200000001,5118.924000000028,5118.924000000028,5102.19200000001,5118.924000000028,1,5118.924000000028,0,0,,Click Response,Response,2,object-5,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,,pre,Mariela es una vieja amiga de Florencia.,,9,
11,1680210388885,30/03/2023 21:06:28,1680188788885,-6,30/03/2023 09:06:28,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,12883.818000002968,12871.18399999998,12883.818000002968,12883.818000002968,12871.18399999998,12883.818000002968,1,12883.818000002968,0,0,,Click Response,Response,2,object-5,main,A pintura grande é muito cara.,A pintura é impressionante e custa muito dinheiro,A pintura é enorme e custa muito dinheiro,opt_b,1,,post,,,,
12,1680210388892,30/03/2023 21:06:28,1680188788892,-6,30/03/2023 09:06:28,127819,12,task-6yod,,28558504,BLIND,8491781,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1600x900,1600x757,,Interpretation,5,CAB,BA,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,
1,1680210546789,30/03/2023 21:09:06,1680188946789,-6,30/03/2023 09:09:06,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1680210554331,30/03/2023 21:09:14,1680188954331,-6,30/03/2023 09:09:14,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,7559.678,7555.77,7559.678,7559.678,7555.77,7559.678,1,7559.678,0,0,,Click Response,Response,2,object-5,main,A pintura grande é muito cara.,A pintura é impressionante e custa muito dinheiro,A pintura é enorme e custa muito dinheiro,opt_b,1,,post,,,,
3,1680210556026,30/03/2023 21:09:16,1680188956026,-6,30/03/2023 09:09:16,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,1698.4309999999987,1681.7879999999986,1698.4309999999987,1698.4309999999987,1681.7879999999986,1698.4309999999987,1,1698.4309999999987,0,0,,Click Response,Response,2,object-5,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,,pre,Mariela es una vieja amiga de Florencia.,,9,
4,1680210557335,30/03/2023 21:09:17,1680188957335,-6,30/03/2023 09:09:17,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,1326.7200000238427,1315.8600000000006,1326.7200000238427,1326.7200000238427,1315.8600000000006,1326.7200000238427,1,1326.7200000238427,0,0,,Click Response,Response,3,object-6,main,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,1,,post,Marta es la persona Ãºnica de quien te hablÃ©.,,8,
5,1680210558155,30/03/2023 21:09:18,1680188958155,-6,30/03/2023 09:09:18,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,4,main,Screen 1,cnypgd,1,response,B,830.1599999761584,815.737000000001,830.1599999761584,830.1599999761584,815.737000000001,830.1599999761584,1,830.1599999761584,0,0,,Click Response,Response,3,object-6,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_a,1,,post,En esa casa vive un hombre solo.,,10,
6,1680210559075,30/03/2023 21:09:19,1680188959075,-6,30/03/2023 09:09:19,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,933.8580000000002,916.6419999999998,933.8580000000002,933.8580000000002,916.6419999999998,933.8580000000002,1,933.8580000000002,0,0,,Click Response,Response,3,object-6,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,,pre,Las grandes obras son impresionantes.,,8,
7,1680210560370,30/03/2023 21:09:20,1680188960370,-6,30/03/2023 09:09:20,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,1312.7809999761575,1298.3809999999994,1312.7809999761575,1312.7809999761575,1298.3809999999994,1312.7809999761575,1,1312.7809999761575,0,0,,Click Response,Response,2,object-5,main,Meu amigo velho vem comer conosco,Meu amigo é meu amigo há muitos anos,Meu amigo não é jovem.,opt_b,1,,post,,,,
8,1680210561275,30/03/2023 21:09:21,1680188961275,-6,30/03/2023 09:09:21,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,7,main,Screen 1,cnypgd,1,response,B,920,915.9739999999983,920,920,915.9739999999983,920,1,920,0,0,,Click Response,Response,3,object-6,main,Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,1,,pre,Sus padres hablan una rara lengua.,,8,
9,1680210562074,30/03/2023 21:09:22,1680188962074,-6,30/03/2023 09:09:22,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,802.3259999523179,799.1730000000025,802.3259999523179,802.3259999523179,799.1730000000025,802.3259999523179,1,802.3259999523179,0,0,,Click Response,Response,2,object-5,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,,post,Mi abuela tiene dos lÃ¡mparas antiguas en el salÃ³n.,,7,
10,1680210563068,30/03/2023 21:09:23,1680188963068,-6,30/03/2023 09:09:23,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,9,main,Screen 1,cnypgd,1,response,B,997.2529999761573,982.4500000000007,997.2529999761573,997.2529999761573,982.4500000000007,997.2529999761573,1,997.2529999761573,0,0,,Click Response,Response,3,object-6,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,1,,pre,Santiago comprÃ³ una nueva computadora.,,9,
11,1680210565999,30/03/2023 21:09:25,1680188965999,-6,30/03/2023 09:09:25,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,2946.5030000238403,2931.1849999999977,2946.5030000238403,2946.5030000238403,2931.1849999999977,2946.5030000238403,1,2946.5030000238403,0,0,,Click Response,Response,3,object-6,main,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,1,,pre,El mismo presidente hablÃ³ con la clase.,,8,
12,1680210566001,30/03/2023 21:09:26,1680188966001,-6,30/03/2023 09:09:26,127819,12,task-6yod,,28558747,BLIND,8491856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1280x720,1280x569,,Interpretation,5,CBA,BA,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,
1,1680211287678,30/03/2023 21:21:27,1680189687678,-6,30/03/2023 09:21:27,127819,12,task-6yod,,28559549,BLIND,8492019,,complete,,,mobile,undefined 2201117SG,Android 12,Chrome 111.0.0.0,393x873,393x719,,Interpretation,5,ACB,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2,1680211300723,30/03/2023 21:21:40,1680189700723,-6,30/03/2023 09:21:40,127819,12,task-6yod,,28559549,BLIND,8492019,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 111.0.0.0,393x873,980x1793,,Interpretation,5,ACB,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,
3,1680211307536,30/03/2023 21:21:47,1680189707536,-6,30/03/2023 09:21:47,127819,12,task-6yod,,28559549,BLIND,8492019,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 111.0.0.0,393x873,980x1793,,Interpretation,5,ACB,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,6830.823,6814.162,6830.823,6830.823,6814.162,6830.823,1,6830.823,0,0,,Click Response,Response,2,object-5,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,1,,pre,Santiago comprÃ³ una nueva computadora.,,9,
4,1680211307847,30/03/2023 21:21:47,1680189707847,-6,30/03/2023 09:21:47,127819,12,task-6yod,,28559549,BLIND,8492019,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 111.0.0.0,393x873,980x1793,,Interpretation,5,ACB,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,329.1880000000001,316.5589999999993,329.1880000000001,329.1880000000001,316.5589999999993,329.1880000000001,1,329.1880000000001,0,0,,Click Response,Response,2,object-5,main,A pintura grande é muito cara.,A pintura é impressionante e custa muito dinheiro,A pintura é enorme e custa muito dinheiro,opt_b,1,,post,,,,
5,1680211391702,30/03/2023 21:23:11,1680189791702,-6,30/03/2023 09:23:11,127819,12,task-6yod,,28559549,BLIND,8492019,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 111.0.0.0,393x873,980x1793,,Interpretation,5,ACB,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,83868.82899998808,83854.787,83868.82899998808,83868.82899998808,83854.787,83868.82899998808,1,83868.82899998808,0,0,,Click Response,Response,2,object-5,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_a,1,,post,En esa casa vive un hombre solo.,,10,
6,1680211392015,30/03/2023 21:23:12,1680189792015,-6,30/03/2023 09:23:12,127819,12,task-6yod,,28559549,BLIND,8492019,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 111.0.0.0,393x873,980x1793,,Interpretation,5,ACB,AB,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,318.6980000000185,302.0370000000112,318.6980000000185,318.6980000000185,302.0370000000112,318.6980000000185,1,318.6980000000185,0,0,,Click Response,Response,2,object-5,main,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,1,,pre,El mismo presidente hablÃ³ con la clase.,,8,
7,1680211427264,30/03/2023 21:23:47,1680189827264,-6,30/03/2023 09:23:47,127819,12,task-6yod,,28559549,BLIND,8492019,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 111.0.0.0,393x873,980x1793,,Interpretation,5,ACB,AB,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,35273.70499997615,35260.037,35273.70499997615,35273.70499997615,35260.037,35273.70499997615,1,35273.70499997615,0,0,,Click Response,Response,3,object-6,main,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,1,,post,Marta es la persona Ãºnica de quien te hablÃ©.,,8,
