"","gorilla_id","L1","eng_aoa","span_aoa","port_aoa","prolific_id","lextale_score_eng","lextale_score_port","lextale_score_span"
"1",8477468,"Portuguese","11","12","1","5b197b8088ee7400012ae154",78.75,93.3333333333333,61.6666666666667
"2",8477801,"English","2","3","12","63e52f8ab3688f45f842114c",65,60,48.3333333333333
"3",8477809,"English","0","12","12","5f4a9363207a7e05019afbff",95,79.1666666666667,75
"4",8477895,"English","1","12","12","6026aaab6d051201e5e6adbc",62.5,60,44.1666666666667
"5",8477945,"Spanish","1","9","0","5f98ab718920801c578363ab",77.5,65,40.8333333333333
"6",8477919,"English","0","12","12","633599d83df1823b08ae2e61",60,56.6666666666667,46.6666666666667
"7",8478501,"English","0","12","0","63bed6e176fba857a47fbaff",73.75,56.6666666666667,41.6666666666667
"8",8478492,"English","0","0","12","5fd9227fbeeb773aa4d6c986",91.25,61.6666666666667,70.8333333333333
"9",8480019,"English","0","12","12","5ced9f04d98d55001aaf6702",98.75,79.1666666666667,56.6666666666667
"10",8480136,"Spanish","4","0","12","5fefcbb9bbdf7f348f598fa6",50,57.5,53.3333333333333
"11",8480150,"Spanish","8","0","12","613ad2b1e74781675b503eff",66.25,63.3333333333333,76.6666666666667
"12",8480163,"Spanish","3","0","12","613a80b807ce434753f76d77",62.5,48.3333333333333,75
"13",8480160,"Spanish","3","0","12","61071e41c6a3f3f53abfc37d",62.5,51.6666666666667,81.6666666666667
"14",8480166,"Spanish","4","1","12","5f760c7a44267e05121a6eff",76.25,76.6666666666667,95
"15",8480152,"Spanish","12","0","12","6052554f2d140e57270e22f9",83.75,64.1666666666667,99.1666666666667
"16",8480205,"Spanish","5","0","12","5f03c4832e8e3c608c6cdb35",67.5,69.1666666666667,85
"17",8480783,"Spanish","12","0","12","5b8c8e7d0c740e00019d55c3",77.5,76.6666666666667,86.6666666666667
"18",8480862,"Spanish","6","0","12","613a469755c08ab3b9d682ad",77.5,56.6666666666667,91.6666666666667
"19",8480880,"Spanish","9","0","12","5b689fa3cda8590001db3c99",87.5,31.6666666666667,77.5
"20",8483135,"English","0","12","3","5f860adba36f4012cb5043c0",85,95.8333333333333,72.5
"21",8490440,"Spanish","9","0","10","61368b205c8f03ed1bfefb92",56.25,57.5,65.8333333333333
"22",8490470,"Spanish","7","0","12","5d293924af9e43001b1e4e22",63.75,56.6666666666667,70
"23",8490491,"Spanish","6","2","12","613a59b4554295dbdaa5dc24",68.75,56.6666666666667,45
"24",8490502,"Spanish","3","0","12","614386aaad55b05aa5c7767e",76.25,70,92.5
"25",8490494,"Spanish","8","1","0","5e3b67fcd61d8738c69aeb0d",75,57.5,90
"26",8490497,"Spanish","6","2","12","613a61ef41fa92a76097b140",91.25,70,84.1666666666667
"27",8491304,"Spanish","4","0","12","614f82c2c5531f58f0109978",70,61.6666666666667,86.6666666666667
"28",8491309,"Spanish","9","0","12","601857c3c3f5ce0c3e5fb913",60,69.1666666666667,88.3333333333333
"29",8491345,"Spanish","5","0","12","6151cac776c9ba6b61b3351b",57.5,51.6666666666667,71.6666666666667
"30",8491438,"Spanish","12","1","12","61660b4af0be02375d417718",57.5,74.1666666666667,31.6666666666667
"31",8491572,"Spanish","3","0","12","61698880c7d1d80ceaadd94c",66.25,61.6666666666667,90.8333333333333
"32",8491662,"Spanish","11","1","12","5f99b4a5ceeed80505fe409d",76.25,72.5,96.6666666666667
"33",8491720,"Spanish","4","0","12","617453a66b7f8a31a27a6689",82.5,61.6666666666667,97.5
"34",8491744,"Spanish","5","3","12","5f2f0014688d632bfee11cbf",71.25,55,81.6666666666667
"35",8491781,"Spanish","12","0","12","5c73477642a5070001a2f940",76.25,61.6666666666667,97.5
"36",8491856,"Spanish","5","0","12","60f49505c949c2feff3db2d7",52.5,44.1666666666667,60
"37",8491787,"Spanish","7","0","12","5f2e46e5f48b2d1a8454d112",75,55.8333333333333,92.5
"38",8492019,"Spanish","6","1","9","6032a88a2b8e882a37cc2766",56.25,58.3333333333333,59.1666666666667
"39",8492129,"__other","0","0","12","605d5a6066ab82b353e53c15",72.5,60,90
"40",8492176,"Spanish","10","0","12","60a595292752aa1fcd8e07e7",75,42.5,85.8333333333333
"41",8492232,"Spanish","4","0","12","6000d5f5eebf792047c6fd23",68.75,90.8333333333333,86.6666666666667
"42",8492298,"English","0","12","12","63614aeb3f34e1c14e619dd1",100,80,63.3333333333333
"43",8492303,"Spanish","6","0","12","5b19a8072767e20001e4eaaf",71.25,66.6666666666667,96.6666666666667
"44",8492360,"Spanish","4","0","12","613b701e364fa985cac6c40b",78.75,48.3333333333333,76.6666666666667
"45",8492374,"Spanish","4","0","12","60afddbaab9ad3e949ac0114",60,50,70.8333333333333
"46",8492382,"Spanish","10","0","12","5fd9835f24952f26449951b5",71.25,82.5,81.6666666666667
"47",8492396,"Spanish","2","1","0","5ef37588bfe86a0ca12ba515",72.5,54.1666666666667,77.5
"48",8492399,"Spanish","5","0","12","615e1837df2d927f6820b57d",58.75,60.8333333333333,73.3333333333333
"49",8492439,"Spanish","10","0","12","5f55136768e37c8a6616bb09",78.75,58.3333333333333,93.3333333333333
"50",8492442,"Spanish","2","0","0","613a731981ce3c31716018be",52.5,46.6666666666667,55.8333333333333
"51",8492412,"Spanish","12","0","12","614b56db574226da0851f05c",53.75,78.3333333333333,85.8333333333333
"52",8492461,"Spanish","12","0","12","614cce1a0dcaa6b078d3d5a7",58.75,75,75.8333333333333
"53",8492462,"Spanish","10","0","12","6160a7be8e4a247529598599",86.25,73.3333333333333,87.5
"54",8492490,"Spanish","12","1","12","613d59d1ac118c6a371ffdfd",75,70.8333333333333,89.1666666666667
"55",8492487,"Spanish","5","0","12","613abcb25093a4df1e5122dd",66.25,82.5,83.3333333333333
"56",8492469,"Spanish","7","12","12","613e868f4d6c157238b8fd87",60,50.8333333333333,51.6666666666667
"57",8492499,"English","0","10","12","63d6d9dec9ddc5dd52a289d2",70,54.1666666666667,51.6666666666667
"58",8492498,"Spanish","3","0","12","615b30431850ae816196b924",78.75,73.3333333333333,75
"59",8492510,"Spanish","12","0","12","613e7eeac77b3f7e3c03b01b",81.25,43.3333333333333,91.6666666666667
"60",8492512,"Spanish","6","0","12","5f38c9aa0c68ee3f7c72f7b4",63.75,78.3333333333333,81.6666666666667
"61",8492578,"Spanish","9","1","0","613ab9b25dffcdc7766719a4",65,76.6666666666667,89.1666666666667
"62",8492564,"Spanish","4","0","12","616bc7221f50cb7718775b65",65,60.8333333333333,74.1666666666667
"63",8492536,"Spanish","12","0","0","613a7eb0d13f4dee9108c3d5",58.75,40.8333333333333,90.8333333333333
"64",8492685,"Spanish","12","0","12","609d4d84477104b011fca02e",68.75,75,72.5
"65",8492958,"English","3","7","0","61047c3dca663c4fc6d590e1",71.25,50,50
"66",8493368,"English","2","12","12","60c6906540d3bc4eed4c35a0",90,45.8333333333333,66.6666666666667
"67",8494160,"English","1","1","1","55888d38fdf99b5a48cf2ee0",71.25,52.5,38.3333333333333
"68",8494520,"English","0","8","12","5a0502cb517dfb00013db4a3",77.5,78.3333333333333,50.8333333333333
"69",8494763,"English","1","1","5","5ededc7ab3595e17ef9533df",95,79.1666666666667,70.8333333333333
"70",8494864,"English","0","11","0","5f0dd2b1550adb080d02763f",76.25,65,59.1666666666667
"71",8495056,"English","1","4","12","5a5479b4ac56240001537ffa",95,65.8333333333333,51.6666666666667
"72",8495335,"English","4","4","10","63ea7fa27b68a3e293c6e10f",90,65.8333333333333,57.5
"73",8495492,"English","1","1","12","63d7b1a0af0a978609a30e3b",98.75,80.8333333333333,65.8333333333333
"74",8496567,"Spanish","2","0","12","60ba36a23cc2c56419ae0f1e",80,55,53.3333333333333
"75",8497177,"Spanish","5","0","11","5bf350a017a7de0001cf746a",73.75,70.8333333333333,70
"76",8497334,"English","0","11","12","610cb2e82784ac6af6469fc5",97.5,74.1666666666667,79.1666666666667
"77",8497355,"English","0","0","12","63cf2ecbc93da69b36a55821",95,84.1666666666667,66.6666666666667
"78",8497369,"English","5","8","10","5783027f913c71000197300d",82.5,92.5,46.6666666666667
"79",8788837,"English","12","12","12","5fd79aba1833640f79ffd07d",67.5,42.5,47.5
"80",8788844,"English","4","4","4","645d518949b0639658176654",47.5,49.1666666666667,50
"81",8788845,"Spanish","6","1","0","606e7d7942e4973f7ea8408e",63.75,32.5,82.5
"82",8788870,"Spanish","8","2","12","5b9858a3fe82f50001caef03",62.5,60,75
"83",8788868,"Spanish","12","0","12","614215e5a85111f66a9abbfc",83.75,56.6666666666667,80.8333333333333
"84",8788872,"English","0","7","12","5edcfe625cd39c9efd5cc2ae",95,66.6666666666667,54.1666666666667
"85",8788877,"Spanish","5","0","12","617600aa26fa05b6decdaaef",66.25,59.1666666666667,78.3333333333333
"86",8788887,"Spanish","9","0","12","61075c7294dd00d991d8e9ca",81.25,82.5,87.5
"87",8788886,"English","1","12","12","64611527e772cd2f9932aeab",82.5,50.8333333333333,50
"88",8788903,"Spanish","4","0","3","63f8b3967c2e7bd04e14a0e5",83.75,52.5,62.5
"89",8788881,"Spanish","3","1","12","613a73698cc7d9c7b60930cd",65,72.5,90.8333333333333
"90",8788876,"Spanish","6","0","12","5ee164fd75cba8192e80c528",66.25,90,95
"91",8788957,"Spanish","3","1","12","5f9e4fcee6cc513f06191d42",82.5,62.5,92.5
"92",8788962,"Spanish","6","2","12","5f2dc04ae81ec50f0b8ea40f",65,40,95.8333333333333
"93",8789015,"Spanish","0","0","12","5c8eac4388549d001527e8cc",68.75,48.3333333333333,54.1666666666667
"94",8789054,"Spanish","6","0","12","5d75e6da6e3615000182caef",80,57.5,66.6666666666667
"95",8789361,"English","0","4","12","60aef7d156d2134b8e20d737",91.25,60,55
"96",8789381,"English","8","3","6","64402f7ad3d019dc99b9f3f0",57.5,68.3333333333333,49.1666666666667
"97",8789379,"English","0","10","12","5b3e3a299a6a140001222ea1",87.5,80.8333333333333,65.8333333333333
"98",8789433,"English","2","10","10","5b72d1b972a6fc0001b2abc2",90,94.1666666666667,95.8333333333333
"99",8789437,"English","3","12","12","62c61250e85c96fc1794c7db",85,44.1666666666667,45
"100",8789471,"English","0","12","12","6325d8654a2844488ae84a06",90,67.5,45
