Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1680109397015,29/03/2023 17:03:17,1680091397015,-5,29/03/2023 07:03:17,128242,3,questionnaire-9e8c,,28522122,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680109426331,29/03/2023 17:03:46,1680091426331,-5,29/03/2023 07:03:46,128242,3,questionnaire-9e8c,,28522122,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680109426347,29/03/2023 17:03:46,1680091426347,-5,29/03/2023 07:03:46,128242,3,questionnaire-9e8c,,28522122,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,5bcc60b95c2b810001dc68e2,,,Text Input,1,object-2
4,1680109426349,29/03/2023 17:03:46,1680091426349,-5,29/03/2023 07:03:46,128242,3,questionnaire-9e8c,,28522122,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,5bcc60b95c2b810001dc68e2,,,Text Input,1,object-2
5,1680109426349,29/03/2023 17:03:46,1680091426349,-5,29/03/2023 07:03:46,128242,3,questionnaire-9e8c,,28522122,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,prolific_id,2,,,,,,,END,,,,,
6,1680109428555,29/03/2023 17:03:48,1680091428555,-5,29/03/2023 07:03:48,128242,3,questionnaire-9e8c,,28522122,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
1,1680109352798,29/03/2023 17:02:32,1680094952798,-4,29/03/2023 09:02:32,128242,3,questionnaire-9e8c,,28524809,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680109392474,29/03/2023 17:03:12,1680094992474,-4,29/03/2023 09:03:12,128242,3,questionnaire-9e8c,,28524809,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680109392477,29/03/2023 17:03:12,1680094992477,-4,29/03/2023 09:03:12,128242,3,questionnaire-9e8c,,28524809,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,63fceba525d21052bc1ee390,,,Text Input,1,object-2
4,1680109392477,29/03/2023 17:03:12,1680094992477,-4,29/03/2023 09:03:12,128242,3,questionnaire-9e8c,,28524809,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,63fceba525d21052bc1ee390,,,Text Input,1,object-2
5,1680109392478,29/03/2023 17:03:12,1680094992478,-4,29/03/2023 09:03:12,128242,3,questionnaire-9e8c,,28524809,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,prolific_id,2,,,,,,,END,,,,,
1,1680114319083,29/03/2023 18:25:19,1680099919083,-4,29/03/2023 10:25:19,128242,3,questionnaire-9e8c,,28528004,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680114324001,29/03/2023 18:25:24,1680099924001,-4,29/03/2023 10:25:24,128242,3,questionnaire-9e8c,,28528004,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680114324001,29/03/2023 18:25:24,1680099924001,-4,29/03/2023 10:25:24,128242,3,questionnaire-9e8c,,28528004,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,5fcbe82a12a0c80009d6e9cf,,,Text Input,1,object-2
4,1680114324001,29/03/2023 18:25:24,1680099924001,-4,29/03/2023 10:25:24,128242,3,questionnaire-9e8c,,28528004,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,5fcbe82a12a0c80009d6e9cf,,,Text Input,1,object-2
5,1680114324001,29/03/2023 18:25:24,1680099924001,-4,29/03/2023 10:25:24,128242,3,questionnaire-9e8c,,28528004,BLIND,8478663,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1440,1022x1023,,prolific_id,2,,,,,,,END,,,,,
1,1680114867887,29/03/2023 18:34:27,1680100467887,-4,29/03/2023 10:34:27,128242,3,questionnaire-9e8c,,28528275,BLIND,8478802,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680114888081,29/03/2023 18:34:48,1680100488081,-4,29/03/2023 10:34:48,128242,3,questionnaire-9e8c,,28528275,BLIND,8478802,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680114888084,29/03/2023 18:34:48,1680100488084,-4,29/03/2023 10:34:48,128242,3,questionnaire-9e8c,,28528275,BLIND,8478802,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,6401538f42950ef81e9f2d8d,,,Text Input,1,object-2
4,1680114888085,29/03/2023 18:34:48,1680100488085,-4,29/03/2023 10:34:48,128242,3,questionnaire-9e8c,,28528275,BLIND,8478802,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,6401538f42950ef81e9f2d8d,,,Text Input,1,object-2
5,1680114888085,29/03/2023 18:34:48,1680100488085,-4,29/03/2023 10:34:48,128242,3,questionnaire-9e8c,,28528275,BLIND,8478802,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,prolific_id,2,,,,,,,END,,,,,
1,1680128956451,29/03/2023 22:29:16,1680103756451,-7,29/03/2023 08:29:16,128242,3,questionnaire-9e8c,,28530009,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x661,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680128962796,29/03/2023 22:29:22,1680103762796,-7,29/03/2023 08:29:22,128242,3,questionnaire-9e8c,,28530009,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680128962797,29/03/2023 22:29:22,1680103762797,-7,29/03/2023 08:29:22,128242,3,questionnaire-9e8c,,28530009,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,62d4c5676e4f202832300e40,,,Text Input,1,object-2
4,1680128962798,29/03/2023 22:29:22,1680103762798,-7,29/03/2023 08:29:22,128242,3,questionnaire-9e8c,,28530009,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,62d4c5676e4f202832300e40,,,Text Input,1,object-2
5,1680128962798,29/03/2023 22:29:22,1680103762798,-7,29/03/2023 08:29:22,128242,3,questionnaire-9e8c,,28530009,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,prolific_id,2,,,,,,,END,,,,,
6,1680128964993,29/03/2023 22:29:24,1680103764993,-7,29/03/2023 08:29:24,128242,3,questionnaire-9e8c,,28530009,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
7,1680128966843,29/03/2023 22:29:26,1680103766843,-7,29/03/2023 08:29:26,128242,3,questionnaire-9e8c,,28530009,BLIND,8479557,,complete,,,mobile,Apple iPhone,iOS 16.2,Mobile Safari 16.2,390x844,390x663,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
1,1680122501444,29/03/2023 20:41:41,1680104501444,-5,29/03/2023 10:41:41,128242,3,questionnaire-9e8c,,28530390,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680122504238,29/03/2023 20:41:44,1680104504238,-5,29/03/2023 10:41:44,128242,3,questionnaire-9e8c,,28530390,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680122504240,29/03/2023 20:41:44,1680104504240,-5,29/03/2023 10:41:44,128242,3,questionnaire-9e8c,,28530390,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,63f77b2aa0d776f479dad4e8,,,Text Input,1,object-2
4,1680122504241,29/03/2023 20:41:44,1680104504241,-5,29/03/2023 10:41:44,128242,3,questionnaire-9e8c,,28530390,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,63f77b2aa0d776f479dad4e8,,,Text Input,1,object-2
5,1680122504241,29/03/2023 20:41:44,1680104504241,-5,29/03/2023 10:41:44,128242,3,questionnaire-9e8c,,28530390,BLIND,8479698,,complete,,,mobile,Samsung SM-N970U1,Android 12,Chrome WebView 111.0.5563.116,412x869,412x787,,prolific_id,2,,,,,,,END,,,,,
1,1680132295096,29/03/2023 23:24:55,1680107095096,-7,29/03/2023 09:24:55,128242,3,questionnaire-9e8c,,28531532,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680132301224,29/03/2023 23:25:01,1680107101224,-7,29/03/2023 09:25:01,128242,3,questionnaire-9e8c,,28531532,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680132301226,29/03/2023 23:25:01,1680107101226,-7,29/03/2023 09:25:01,128242,3,questionnaire-9e8c,,28531532,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,6419d4b95f4baa2bca7aa797,,,Text Input,1,object-2
4,1680132301227,29/03/2023 23:25:01,1680107101227,-7,29/03/2023 09:25:01,128242,3,questionnaire-9e8c,,28531532,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,6419d4b95f4baa2bca7aa797,,,Text Input,1,object-2
5,1680132301227,29/03/2023 23:25:01,1680107101227,-7,29/03/2023 09:25:01,128242,3,questionnaire-9e8c,,28531532,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,prolific_id,2,,,,,,,END,,,,,
6,1680132302890,29/03/2023 23:25:02,1680107102890,-7,29/03/2023 09:25:02,128242,3,questionnaire-9e8c,,28531532,BLIND,8480149,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
1,1680132592246,29/03/2023 23:29:52,1680107392246,-7,29/03/2023 09:29:52,128242,3,questionnaire-9e8c,,28531686,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680132600390,29/03/2023 23:30:00,1680107400390,-7,29/03/2023 09:30:00,128242,3,questionnaire-9e8c,,28531686,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680132600391,29/03/2023 23:30:00,1680107400391,-7,29/03/2023 09:30:00,128242,3,questionnaire-9e8c,,28531686,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,5adef850eb60400001539109,,,Text Input,1,object-2
4,1680132600392,29/03/2023 23:30:00,1680107400392,-7,29/03/2023 09:30:00,128242,3,questionnaire-9e8c,,28531686,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,5adef850eb60400001539109,,,Text Input,1,object-2
5,1680132600392,29/03/2023 23:30:00,1680107400392,-7,29/03/2023 09:30:00,128242,3,questionnaire-9e8c,,28531686,BLIND,8480196,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x937,,prolific_id,2,,,,,,,END,,,,,
1,1680122712544,29/03/2023 20:45:12,1680108312544,-4,29/03/2023 12:45:12,128242,3,questionnaire-9e8c,,28532111,BLIND,8480315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680122774239,29/03/2023 20:46:14,1680108374239,-4,29/03/2023 12:46:14,128242,3,questionnaire-9e8c,,28532111,BLIND,8480315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680122774241,29/03/2023 20:46:14,1680108374241,-4,29/03/2023 12:46:14,128242,3,questionnaire-9e8c,,28532111,BLIND,8480315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,62e6c5d05d354e1f99d612e4,,,Text Input,1,object-2
4,1680122774242,29/03/2023 20:46:14,1680108374242,-4,29/03/2023 12:46:14,128242,3,questionnaire-9e8c,,28532111,BLIND,8480315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,62e6c5d05d354e1f99d612e4,,,Text Input,1,object-2
5,1680122774242,29/03/2023 20:46:14,1680108374242,-4,29/03/2023 12:46:14,128242,3,questionnaire-9e8c,,28532111,BLIND,8480315,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,prolific_id,2,,,,,,,END,,,,,
1,1680123679267,29/03/2023 21:01:19,1680109279267,-4,29/03/2023 13:01:19,128242,3,questionnaire-9e8c,,28532389,BLIND,8480435,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3.1,1280x800,1280x644,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680123689616,29/03/2023 21:01:29,1680109289616,-4,29/03/2023 13:01:29,128242,3,questionnaire-9e8c,,28532389,BLIND,8480435,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3.1,1280x800,1280x644,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680123689620,29/03/2023 21:01:29,1680109289620,-4,29/03/2023 13:01:29,128242,3,questionnaire-9e8c,,28532389,BLIND,8480435,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3.1,1280x800,1280x644,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,5bebd4111296920001d55c5a,,,Text Input,1,object-2
4,1680123689621,29/03/2023 21:01:29,1680109289621,-4,29/03/2023 13:01:29,128242,3,questionnaire-9e8c,,28532389,BLIND,8480435,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3.1,1280x800,1280x644,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,5bebd4111296920001d55c5a,,,Text Input,1,object-2
5,1680123689622,29/03/2023 21:01:29,1680109289622,-4,29/03/2023 13:01:29,128242,3,questionnaire-9e8c,,28532389,BLIND,8480435,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3.1,1280x800,1280x644,,prolific_id,2,,,,,,,END,,,,,
1,1680131907856,29/03/2023 23:18:27,1680117507856,-4,29/03/2023 15:18:27,128242,3,questionnaire-9e8c,,28534751,BLIND,8481408,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,2276x1101,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680131913363,29/03/2023 23:18:33,1680117513363,-4,29/03/2023 15:18:33,128242,3,questionnaire-9e8c,,28534751,BLIND,8481408,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,2276x1101,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680131913364,29/03/2023 23:18:33,1680117513364,-4,29/03/2023 15:18:33,128242,3,questionnaire-9e8c,,28534751,BLIND,8481408,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,2276x1101,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,628f827eeb876ed2617881e7,,,Text Input,1,object-2
4,1680131913365,29/03/2023 23:18:33,1680117513365,-4,29/03/2023 15:18:33,128242,3,questionnaire-9e8c,,28534751,BLIND,8481408,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,2276x1101,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,628f827eeb876ed2617881e7,,,Text Input,1,object-2
5,1680131913366,29/03/2023 23:18:33,1680117513366,-4,29/03/2023 15:18:33,128242,3,questionnaire-9e8c,,28534751,BLIND,8481408,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,2276x1101,,prolific_id,2,,,,,,,END,,,,,
1,1680144080762,30/03/2023 02:41:20,1680118880762,-7,29/03/2023 12:41:20,128242,3,questionnaire-9e8c,,28535106,BLIND,8481611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680144085203,30/03/2023 02:41:25,1680118885203,-7,29/03/2023 12:41:25,128242,3,questionnaire-9e8c,,28535106,BLIND,8481611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680144085203,30/03/2023 02:41:25,1680118885203,-7,29/03/2023 12:41:25,128242,3,questionnaire-9e8c,,28535106,BLIND,8481611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,6344febaa4f84c624010aa31,,,Text Input,1,object-2
4,1680144085204,30/03/2023 02:41:25,1680118885204,-7,29/03/2023 12:41:25,128242,3,questionnaire-9e8c,,28535106,BLIND,8481611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,6344febaa4f84c624010aa31,,,Text Input,1,object-2
5,1680144085205,30/03/2023 02:41:25,1680118885205,-7,29/03/2023 12:41:25,128242,3,questionnaire-9e8c,,28535106,BLIND,8481611,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x649,,prolific_id,2,,,,,,,END,,,,,
1,1680117738980,29/03/2023 19:22:18,1680121338980,1,29/03/2023 21:22:18,128242,3,questionnaire-9e8c,,28535929,BLIND,8481996,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1536x864,1536x739,,prolific_id,2,,,,,,,BEGIN,,,,,
2,1680117745412,29/03/2023 19:22:25,1680121345412,1,29/03/2023 21:22:25,128242,3,questionnaire-9e8c,,28535929,BLIND,8481996,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1536x864,1536x739,,prolific_id,2,Page 1,dh9zhu,1,,continue,,,,,screen,0,screen
3,1680117745413,29/03/2023 19:22:25,1680121345413,1,29/03/2023 21:22:25,128242,3,questionnaire-9e8c,,28535929,BLIND,8481996,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1536x864,1536x739,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,action,value,5f46933fde27c701e978e392,,,Text Input,1,object-2
4,1680117745413,29/03/2023 19:22:25,1680121345413,1,29/03/2023 21:22:25,128242,3,questionnaire-9e8c,,28535929,BLIND,8481996,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 111.0,1536x864,1536x739,,prolific_id,2,Page 1,dh9zhu,1,What is your prolific id?,response,value,5f46933fde27c701e978e392,,,Text Input,1,object-2
