"","participant","key_resp_3.keys","prompt","correct","opt_a","correct_opt","pre_post","L1"
"1","561fcb95ed6e5a000bc7eaa2","0","Marta é a pessoa única de quem falei.","opt_b","Não há ninguém (tão especial) quanto Marta, que eu te disse.",1,"post","English"
"2","561fcb95ed6e5a000bc7eaa2","0","Seus pais falam uma rara língua.","opt_b","Eles falam uma linguagem estranha.",1,"pre","English"
"3","561fcb95ed6e5a000bc7eaa2","0","Mariela é uma velha amiga de Florence.","opt_a","Muitos anos atrás eles são amigos.",0,"pre","English"
"4","561fcb95ed6e5a000bc7eaa2","0","Santiago comprou um novo computador.","opt_a","O computador era 100% novo.",0,"pre","English"
"5","561fcb95ed6e5a000bc7eaa2","0","Meu amigo velho vem comer conosco","opt_b","Meu amigo é meu amigo há muitos anos",1,"post","English"
"6","561fcb95ed6e5a000bc7eaa2","1","Minha avó tem duas lâmpadas antigas na sala.","opt_a","Ele tem duas lâmpadas velhas na sala.",1,"post","English"
"7","561fcb95ed6e5a000bc7eaa2","0","As grandes obras são impressionantes.","opt_b","Os trabalhos não são pequenos.",1,"pre","English"
"8","561fcb95ed6e5a000bc7eaa2","0","Naquela casa, mora um homem sozinho.","opt_a","Apenas um homem mora em casa.",0,"post","English"
"9","561fcb95ed6e5a000bc7eaa2","1","A pintura grande é muito cara.","opt_b","A pintura é impressionante e custa muito dinheiro",0,"post","English"
"10","561fcb95ed6e5a000bc7eaa2","1","O próprio presidente conversou com a classe.","opt_a","O presidente, e não outra pessoa, conversou com a classe.",1,"pre","English"
"11","5c66d6a50d7f5f00014b8ab0","1","Santiago comprou um novo computador.","opt_a","O computador era 100% novo.",1,"pre","English"
"12","5c66d6a50d7f5f00014b8ab0","1","Mariela é uma velha amiga de Florence.","opt_a","Muitos anos atrás eles são amigos.",1,"pre","English"
"13","5c66d6a50d7f5f00014b8ab0","0","Marta é a pessoa única de quem falei.","opt_b","Não há ninguém (tão especial) quanto Marta, que eu te disse.",1,"post","English"
"14","5c66d6a50d7f5f00014b8ab0","0","As grandes obras são impressionantes.","opt_b","Os trabalhos não são pequenos.",1,"pre","English"
"15","5c66d6a50d7f5f00014b8ab0","0","Seus pais falam uma rara língua.","opt_b","Eles falam uma linguagem estranha.",1,"pre","English"
"16","5c66d6a50d7f5f00014b8ab0","1","Naquela casa, mora um homem sozinho.","opt_a","Apenas um homem mora em casa.",1,"post","English"
"17","5c66d6a50d7f5f00014b8ab0","1","Meu amigo velho vem comer conosco","opt_b","Meu amigo é meu amigo há muitos anos",0,"post","English"
"18","5c66d6a50d7f5f00014b8ab0","0","A pintura grande é muito cara.","opt_b","A pintura é impressionante e custa muito dinheiro",1,"post","English"
"19","5c66d6a50d7f5f00014b8ab0","1","Minha avó tem duas lâmpadas antigas na sala.","opt_a","Ele tem duas lâmpadas velhas na sala.",1,"post","English"
"20","5c66d6a50d7f5f00014b8ab0","1","O próprio presidente conversou com a classe.","opt_a","O presidente, e não outra pessoa, conversou com a classe.",1,"pre","English"
"21","5c9e5a042b3c77001544e975","0","Minha avó tem duas lâmpadas antigas na sala.","opt_a","Ele tem duas lâmpadas velhas na sala.",0,"post","English"
"22","5c9e5a042b3c77001544e975","0","Seus pais falam uma rara língua.","opt_b","Eles falam uma linguagem estranha.",1,"pre","English"
"23","5c9e5a042b3c77001544e975","1","O próprio presidente conversou com a classe.","opt_a","O presidente, e não outra pessoa, conversou com a classe.",1,"pre","English"
"24","5c9e5a042b3c77001544e975","0","Marta é a pessoa única de quem falei.","opt_b","Não há ninguém (tão especial) quanto Marta, que eu te disse.",1,"post","English"
"25","5c9e5a042b3c77001544e975","1","Mariela é uma velha amiga de Florence.","opt_a","Muitos anos atrás eles são amigos.",1,"pre","English"
"26","5c9e5a042b3c77001544e975","0","As grandes obras são impressionantes.","opt_b","Os trabalhos não são pequenos.",1,"pre","English"
"27","5c9e5a042b3c77001544e975","0","Santiago comprou um novo computador.","opt_a","O computador era 100% novo.",0,"pre","English"
"28","5c9e5a042b3c77001544e975","0","A pintura grande é muito cara.","opt_b","A pintura é impressionante e custa muito dinheiro",1,"post","English"
"29","5c9e5a042b3c77001544e975","0","Meu amigo velho vem comer conosco","opt_b","Meu amigo é meu amigo há muitos anos",1,"post","English"
"30","5c9e5a042b3c77001544e975","1","Naquela casa, mora um homem sozinho.","opt_a","Apenas um homem mora em casa.",1,"post","English"
"31","5ea01c7e792cdc00099748d6","1","A pintura grande é muito cara.","opt_b","A pintura é impressionante e custa muito dinheiro",0,"post","English"
"32","5ea01c7e792cdc00099748d6","1","Naquela casa, mora um homem sozinho.","opt_a","Apenas um homem mora em casa.",1,"post","English"
"33","5ea01c7e792cdc00099748d6","1","Seus pais falam uma rara língua.","opt_b","Eles falam uma linguagem estranha.",0,"pre","English"
"34","5ea01c7e792cdc00099748d6","1","Mariela é uma velha amiga de Florence.","opt_a","Muitos anos atrás eles são amigos.",1,"pre","English"
"35","5ea01c7e792cdc00099748d6","0","Marta é a pessoa única de quem falei.","opt_b","Não há ninguém (tão especial) quanto Marta, que eu te disse.",1,"post","English"
"36","5ea01c7e792cdc00099748d6","1","Santiago comprou um novo computador.","opt_a","O computador era 100% novo.",1,"pre","English"
"37","5ea01c7e792cdc00099748d6","0","As grandes obras são impressionantes.","opt_b","Os trabalhos não são pequenos.",1,"pre","English"
"38","5ea01c7e792cdc00099748d6","1","Minha avó tem duas lâmpadas antigas na sala.","opt_a","Ele tem duas lâmpadas velhas na sala.",1,"post","English"
"39","5ea01c7e792cdc00099748d6","0","Meu amigo velho vem comer conosco","opt_b","Meu amigo é meu amigo há muitos anos",1,"post","English"
"40","5ea01c7e792cdc00099748d6","1","O próprio presidente conversou com a classe.","opt_a","O presidente, e não outra pessoa, conversou com a classe.",1,"pre","English"
"41","5f5f5013f947f6000bd8ddcb","0","Meu amigo velho vem comer conosco","opt_b","Meu amigo é meu amigo há muitos anos",1,"post","English"
"42","5f5f5013f947f6000bd8ddcb","1","Mariela é uma velha amiga de Florence.","opt_a","Muitos anos atrás eles são amigos.",1,"pre","English"
"43","5f5f5013f947f6000bd8ddcb","0","A pintura grande é muito cara.","opt_b","A pintura é impressionante e custa muito dinheiro",1,"post","English"
"44","5f5f5013f947f6000bd8ddcb","1","Marta é a pessoa única de quem falei.","opt_b","Não há ninguém (tão especial) quanto Marta, que eu te disse.",0,"post","English"
"45","5f5f5013f947f6000bd8ddcb","0","As grandes obras são impressionantes.","opt_b","Os trabalhos não são pequenos.",1,"pre","English"
"46","5f5f5013f947f6000bd8ddcb","0","Santiago comprou um novo computador.","opt_a","O computador era 100% novo.",0,"pre","English"
"47","5f5f5013f947f6000bd8ddcb","0","Naquela casa, mora um homem sozinho.","opt_a","Apenas um homem mora em casa.",0,"post","English"
"48","5f5f5013f947f6000bd8ddcb","1","Minha avó tem duas lâmpadas antigas na sala.","opt_a","Ele tem duas lâmpadas velhas na sala.",1,"post","English"
"49","5f5f5013f947f6000bd8ddcb","0","Seus pais falam uma rara língua.","opt_b","Eles falam uma linguagem estranha.",1,"pre","English"
"50","5f5f5013f947f6000bd8ddcb","1","O próprio presidente conversou com a classe.","opt_a","O presidente, e não outra pessoa, conversou com a classe.",1,"pre","English"
"51","5f805dd87a1fdb064708f313","1","Minha avó tem duas lâmpadas antigas na sala.","opt_a","Ele tem duas lâmpadas velhas na sala.",1,"post","English"
"52","5f805dd87a1fdb064708f313","1","As grandes obras são impressionantes.","opt_b","Os trabalhos não são pequenos.",0,"pre","English"
"53","5f805dd87a1fdb064708f313","1","O próprio presidente conversou com a classe.","opt_a","O presidente, e não outra pessoa, conversou com a classe.",1,"pre","English"
"54","5f805dd87a1fdb064708f313","1","Seus pais falam uma rara língua.","opt_b","Eles falam uma linguagem estranha.",0,"pre","English"
"55","5f805dd87a1fdb064708f313","1","Naquela casa, mora um homem sozinho.","opt_a","Apenas um homem mora em casa.",1,"post","English"
"56","5f805dd87a1fdb064708f313","1","A pintura grande é muito cara.","opt_b","A pintura é impressionante e custa muito dinheiro",0,"post","English"
"57","5f805dd87a1fdb064708f313","1","Meu amigo velho vem comer conosco","opt_b","Meu amigo é meu amigo há muitos anos",0,"post","English"
"58","5f805dd87a1fdb064708f313","1","Mariela é uma velha amiga de Florence.","opt_a","Muitos anos atrás eles são amigos.",1,"pre","English"
"59","5f805dd87a1fdb064708f313","1","Santiago comprou um novo computador.","opt_a","O computador era 100% novo.",1,"pre","English"
"60","5f805dd87a1fdb064708f313","1","Marta é a pessoa única de quem falei.","opt_b","Não há ninguém (tão especial) quanto Marta, que eu te disse.",0,"post","English"
"61","6009b7359e9b700008905dfa","1","Naquela casa, mora um homem sozinho.","opt_a","Apenas um homem mora em casa.",1,"post","English"
"62","6009b7359e9b700008905dfa","0","A pintura grande é muito cara.","opt_b","A pintura é impressionante e custa muito dinheiro",1,"post","English"
"63","6009b7359e9b700008905dfa","1","Mariela é uma velha amiga de Florence.","opt_a","Muitos anos atrás eles são amigos.",1,"pre","English"
"64","6009b7359e9b700008905dfa","1","Minha avó tem duas lâmpadas antigas na sala.","opt_a","Ele tem duas lâmpadas velhas na sala.",1,"post","English"
"65","6009b7359e9b700008905dfa","0","Meu amigo velho vem comer conosco","opt_b","Meu amigo é meu amigo há muitos anos",1,"post","English"
"66","6009b7359e9b700008905dfa","1","O próprio presidente conversou com a classe.","opt_a","O presidente, e não outra pessoa, conversou com a classe.",1,"pre","English"
"67","6009b7359e9b700008905dfa","1","As grandes obras são impressionantes.","opt_b","Os trabalhos não são pequenos.",0,"pre","English"
"68","6009b7359e9b700008905dfa","1","Santiago comprou um novo computador.","opt_a","O computador era 100% novo.",1,"pre","English"
"69","6009b7359e9b700008905dfa","0","Marta é a pessoa única de quem falei.","opt_b","Não há ninguém (tão especial) quanto Marta, que eu te disse.",1,"post","English"
"70","6009b7359e9b700008905dfa","0","Seus pais falam uma rara língua.","opt_b","Eles falam uma linguagem estranha.",1,"pre","English"
"71","601129f77e0c21000b0c408a","1","Mariela é uma velha amiga de Florence.","opt_a","Muitos anos atrás eles são amigos.",1,"pre","English"
"72","601129f77e0c21000b0c408a","1","Meu amigo velho vem comer conosco","opt_b","Meu amigo é meu amigo há muitos anos",0,"post","English"
