"","participant","choice.keys","prompt","correct","opt_a","correct_opt","pre_post","L1"
"1","59dbbdce5de9b000017ebf19","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"2","59dbbdce5de9b000017ebf19","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"3","59dbbdce5de9b000017ebf19","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"4","59dbbdce5de9b000017ebf19","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"5","59dbbdce5de9b000017ebf19","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"6","59dbbdce5de9b000017ebf19","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"7","59dbbdce5de9b000017ebf19","0","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",1,"pre","Portuguese"
"8","59dbbdce5de9b000017ebf19","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"9","59dbbdce5de9b000017ebf19","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"10","59dbbdce5de9b000017ebf19","1","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",1,"post","Portuguese"
"11","5b339152afe1d00001c6c509","0","Eu a conheci há muitos anos. É uma _______________.","opt_b","amigo velho",1,"pre","Portuguese"
"12","5b339152afe1d00001c6c509","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"13","5b339152afe1d00001c6c509","1","Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso)","opt_a","pais afetuosos",1,"post","Portuguese"
"14","5b339152afe1d00001c6c509","1","Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (valente)","opt_b","super-heróis valentes",0,"pre","Portuguese"
"15","5b339152afe1d00001c6c509","0","Meus amigos não têm dinheiro. São _______________.","opt_a","amigos pobres",0,"post","Portuguese"
"16","5b339152afe1d00001c6c509","0","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",1,"pre","Portuguese"
"17","5b339152afe1d00001c6c509","1","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",1,"post","Portuguese"
"18","5b339152afe1d00001c6c509","0","Era apenas uma pessoa, não duas pessoas. Foi a _______________ .","opt_b","pessoa mesma",1,"pre","Portuguese"
"19","5b339152afe1d00001c6c509","1","Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)","opt_a","pais orgulhosos",1,"post","Portuguese"
"20","5b339152afe1d00001c6c509","1","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",1,"post","Portuguese"
"21","5b883986f249560001686872","1","O professor ensina dois cursos que você pode fazer. Há _______________.","opt_b","opções várias",0,"pre","Portuguese"
"22","5b883986f249560001686872","0","Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)","opt_a","estudantes estudiosos",0,"post","Portuguese"
"23","5b883986f249560001686872","0","Esse livro é a edição do ano passado - precisamos do ________","opt_b","Livro novo",1,"pre","Portuguese"
"24","5b883986f249560001686872","0","Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.","opt_a","meninos fortes",0,"post","Portuguese"
