port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,0,3.0196,0,9,9,2,1,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,,,,,,,,,
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,,,,,,,,,,,,space,2.325,,,,,,,
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,,,,,,,,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_a,,,1,4.6358,0,0,0,7,1
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,,,,,,,,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,,,0,6.1428,0,1,1,2,1
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,,,,,,,,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,,,0,6.6339,0,2,2,5,1
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,,,,,,,,Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,,,0,4.347,0,3,3,3,1
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,,,,,,,,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,,,1,5.2706,0,4,4,6,1
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,,,,,,,,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,,,1,3.9429,0,5,5,8,1
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,,,,,,,,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,,,1,7.8055,0,6,6,4,1
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,,,,,,,,Meu amigo velho vem comer conosco,Meu amigo é meu amigo há muitos anos,Meu amigo não é jovem.,opt_b,,,0,5.9901,0,7,7,1,1
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,,,,,,,,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,,,1,6.2267,0,8,8,9,1
,,60bcdaf1a9b6adfbf9b197c8,001,2022-09-19_19h18.45.565,rothman_exp,2022.2.3,Win32,144.0299582,,,,,,,,A pintura grande é muito cara.,A pintura é impressionante e custa muito dinheiro,A pintura é enorme e custa muito dinheiro,opt_b,,,0,4.363,0,9,9,0,1
