port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
,,5c198b6c749f990001f2491d,001,2022-09-19_19h19.04.608,rothman_exp,2022.2.3,Win32,144.0092166,,,,,,,,Seus pais falam uma rara língua.,Eles falam uma linguagem estranha.,Eles falam um idioma que muito poucas pessoas falam.,opt_b,,,0,6.6336,0,1,1,3,1,,
,,5c198b6c749f990001f2491d,001,2022-09-19_19h19.04.608,rothman_exp,2022.2.3,Win32,144.0092166,,,,,,,,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,,,1,12.9535,0,2,2,9,1,,
,,5c198b6c749f990001f2491d,001,2022-09-19_19h19.04.608,rothman_exp,2022.2.3,Win32,144.0092166,,,,,,,,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_a,,,1,3.7927,0,3,3,7,1,,
,,5c198b6c749f990001f2491d,001,2022-09-19_19h19.04.608,rothman_exp,2022.2.3,Win32,144.0092166,,,,,,,,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_a,,,1,5.2917,0,4,4,5,1,,
,,5c198b6c749f990001f2491d,001,2022-09-19_19h19.04.608,rothman_exp,2022.2.3,Win32,144.0092166,,,,,,,,Marta é a pessoa única de quem falei.,"Não há ninguém (tão especial) quanto Marta, que eu te disse.","Não contei a você sobre mais ninguém, além de Marta.",opt_b,,,1,9.2365,0,5,5,4,1,,
,,5c198b6c749f990001f2491d,001,2022-09-19_19h19.04.608,rothman_exp,2022.2.3,Win32,144.0092166,,,,,,,,Meu amigo velho vem comer conosco,Meu amigo é meu amigo há muitos anos,Meu amigo não é jovem.,opt_b,,,0,10.882,0,6,6,1,1,,
,,5c198b6c749f990001f2491d,001,2022-09-19_19h19.04.608,rothman_exp,2022.2.3,Win32,144.0092166,,,,,,,,A pintura grande é muito cara.,A pintura é impressionante e custa muito dinheiro,A pintura é enorme e custa muito dinheiro,opt_b,,,0,5.0443,0,7,7,0,1,,
,,5c198b6c749f990001f2491d,001,2022-09-19_19h19.04.608,rothman_exp,2022.2.3,Win32,144.0092166,,,,,,,,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,,,0,5.0276,0,8,8,2,1,,
,,5c198b6c749f990001f2491d,001,2022-09-19_19h19.04.608,rothman_exp,2022.2.3,Win32,144.0092166,,,,,,,,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,,,1,4.7915,0,9,9,8,1,,
,,5c198b6c749f990001f2491d,001,2022-09-19_19h19.04.608,rothman_exp,2022.2.3,Win32,144.0092166,,,,,,,,,,,,,,,,,,,,,space,14.8019
