key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
space,0.6988,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,,,,,,,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,1,0.4957,0,0,0,3,1,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,,,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,1,0.2375,0,1,1,4,1,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,,,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,1,0.2636,0,2,2,1,1,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras. (aventureiro)",Ming aventureiros,aventureiros Ming,opt_b,,,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,1,0.2473,0,3,3,0,1,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (corajoso)",super-heróis corajosos,corajosos super-heróis,opt_b,,,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,1,0.2468,0,4,4,9,1,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,,,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,1,0.2391,0,5,5,6,1,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,,,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,1,0.2731,0,6,6,8,1,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,,,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,1,0.1253,0,7,7,5,1,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,,,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,1,0.3571,0,8,8,2,1,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,,,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,1,0.1411,0,9,9,7,1,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,,,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,,,,,space,0.7309,,,,,,,
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,,,1,0.0055,0,0,0,4,1
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,,,1,0.0057,0,1,1,2,1
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,O próprio presidente conversou com a classe.,"O presidente, e não outra pessoa, conversou com a classe.",O presidente que já havia falado com a classe.,opt_a,,,1,0.1204,0,2,2,9,1
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_b,,,1,0.0056,0,3,3,7,1
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,,,1,0.0069,0,4,4,0,1
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_b,,,1,0.2319,0,5,5,5,1
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,,,1,0.4595,0,6,6,6,1
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,O artigo contém informações certas.,Contém algumas informações.,Ele contém informações que são para verar.,opt_b,,,1,0.7365,0,7,7,1,1
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,,,1,0.4735,0,8,8,3,1
,,13213123123,001,2022-08-19_21h19.45.184,rothman_exp,2022.2.3,Win32,10.28256488,,,,,,,,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,,,1,0.347,0,9,9,8,1
