key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,11.1348,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,1,5.0444,0,0,0,6,1,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,,,,,,,,,,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,0,5.6101,0,1,1,1,1,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras. (aventureiro)",Ming aventureiros,aventureiros Ming,opt_b,,,,,,,,,,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,1,3.1867,0,2,2,9,1,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,,,,,,,,,,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,1,7.0066,0,3,3,8,1,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,,,,,,,,,,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,1,9.4938,0,4,4,5,1,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,,,,,,,,,,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,0,4.2134,0,5,5,4,1,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,,,,,,,,,,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,0,10.9946,0,6,6,3,1,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,,,,,,,,,,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,1,6.3292,0,7,7,0,1,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (corajoso)",super-heróis corajosos,corajosos super-heróis,opt_b,,,,,,,,,,,
,,60b01054de6a690e62c993ed,001,2022-08-19_20h38.04.709,rothman_exp,2022.2.3,Win32,60.0276127,0,5.3106,0,8,8,2,1,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,,,,,,,,,,,
