port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct
0,14.1479,nish,001,2022-09-19_19h18.54.322,rothman_exp,2022.2.3,Win32,12.00148818,,,,,,,,,,,
,,nish,001,2022-09-19_19h18.54.322,rothman_exp,2022.2.3,Win32,12.00148818,1,7.2351,0,0,0,9,1,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a
