key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
space,34.5994,60204458e6a42863349abc9f,001,2022-08-19_21h15.34.165,rothman_exp,2022.2.3,Win32,9.59527145,,,,,,,,,,,,,,,,,,,,
,,60204458e6a42863349abc9f,001,2022-08-19_21h15.34.165,rothman_exp,2022.2.3,Win32,9.59527145,0,9.5309,0,0,0,2,1,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,,,,,,,,,
,,60204458e6a42863349abc9f,001,2022-08-19_21h15.34.165,rothman_exp,2022.2.3,Win32,9.59527145,1,8.9796,0,1,1,0,1,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (corajoso)",super-heróis corajosos,corajosos super-heróis,opt_b,,,,,,,,,
,,60204458e6a42863349abc9f,001,2022-08-19_21h15.34.165,rothman_exp,2022.2.3,Win32,9.59527145,1,10.978,0,2,2,8,1,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,,,,,,,,,
,,60204458e6a42863349abc9f,001,2022-08-19_21h15.34.165,rothman_exp,2022.2.3,Win32,9.59527145,1,16.4216,0,3,3,5,1,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,,,,,,,,,
,,60204458e6a42863349abc9f,001,2022-08-19_21h15.34.165,rothman_exp,2022.2.3,Win32,9.59527145,0,6.5445,0,4,4,1,1,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras. (aventureiro)",Ming aventureiros,aventureiros Ming,opt_b,,,,,,,,,
,,60204458e6a42863349abc9f,001,2022-08-19_21h15.34.165,rothman_exp,2022.2.3,Win32,9.59527145,0,4.613,0,5,5,4,1,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,,,,,,,,,
,,60204458e6a42863349abc9f,001,2022-08-19_21h15.34.165,rothman_exp,2022.2.3,Win32,9.59527145,1,10.1827,0,6,6,7,1,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,,,,,,,,,
,,60204458e6a42863349abc9f,001,2022-08-19_21h15.34.165,rothman_exp,2022.2.3,Win32,9.59527145,1,6.0799,0,7,7,6,1,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,,,,,,,,,
,,60204458e6a42863349abc9f,001,2022-08-19_21h15.34.165,rothman_exp,2022.2.3,Win32,9.59527145,1,6.5175,0,8,8,9,1,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,,,,,,,,,
