Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1680011337694,28/03/2023 13:48:57,1680014937694,1,28/03/2023 15:48:57,127819,11,questionnaire-zbjj,,28492102,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Questionnaire,3,ABC,AB,,,,,,,BEGIN,,,,,
2,1680011411038,28/03/2023 13:50:11,1680015011038,1,28/03/2023 15:50:11,127819,11,questionnaire-zbjj,,28492102,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,,continue,,,,,screen,0,screen
3,1680011411039,28/03/2023 13:50:11,1680015011039,1,28/03/2023 15:50:11,127819,11,questionnaire-zbjj,,28492102,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",action,value,Portuguese,,English|Spanish|Portuguese,Multiple Choice,1,object-2
4,1680011411039,28/03/2023 13:50:11,1680015011039,1,28/03/2023 15:50:11,127819,11,questionnaire-zbjj,,28492102,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"What is your first language? Please use ""other"" if you consider more than one of these to be your first language.",action,quantised,3,,English|Spanish|Portuguese,Multiple Choice,1,object-2
5,1680011411039,28/03/2023 13:50:11,1680015011039,1,28/03/2023 15:50:11,127819,11,questionnaire-zbjj,,28492102,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",action,value,Yes,,Yes|No,Multiple Choice,2,object-3
6,1680011411039,28/03/2023 13:50:11,1680015011039,1,28/03/2023 15:50:11,127819,11,questionnaire-zbjj,,28492102,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"Do you speak **all 3** Spanish, English and Portuguese? ",action,quantised,1,,Yes|No,Multiple Choice,2,object-3
7,1680011411039,28/03/2023 13:50:11,1680015011039,1,28/03/2023 15:50:11,127819,11,questionnaire-zbjj,,28492102,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",action,value,8,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
8,1680011411040,28/03/2023 13:50:11,1680015011040,1,28/03/2023 15:50:11,127819,11,questionnaire-zbjj,,28492102,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **English**? Please select ""12"" if you began learning English at age 12 or later.",action,quantised,9,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,3,object-4
9,1680011411040,28/03/2023 13:50:11,1680015011040,1,28/03/2023 15:50:11,127819,11,questionnaire-zbjj,,28492102,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",action,value,12,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
10,1680011411040,28/03/2023 13:50:11,1680015011040,1,28/03/2023 15:50:11,127819,11,questionnaire-zbjj,,28492102,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Questionnaire,3,ABC,AB,Page 1,mowvol,1,"At what age did you become begin to learn **Spanish**? Please select ""12"" if you began learning English at age 12 or later.",action,quantised,13,,0|1|2|3|4|5|6|7|8|9|10|11|12,Dropdown,4,object-5
