Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: item,Spreadsheet: ANSWER,Spreadsheet: targetresponse,Spreadsheet: type,Manipulation: Spreadsheet,Store: Accuracy,Store: incorrect
1,1680011778395,28/03/2023 13:56:18,1680015378395,1,28/03/2023 15:56:18,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,
2,1680011781785,28/03/2023 13:56:21,1680015381785,1,28/03/2023 15:56:21,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,1,instructions,Screen 1,pemmcz,1,continue,,3407.163999856949,3399.8640000000005,3407.163999856949,3407.163999856949,3399.8640000000005,3407.163999856949,1,0,3407.163999856949,0,0,,Click To Continue,Continue Button,2,object-5,instructions,,,,,,,,,
3,1680011782969,28/03/2023 13:56:22,1680015382969,1,28/03/2023 15:56:22,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,1,main,main,l6tere,1,response,tick.png,1191.4999999046322,1183.286,1191.4999999046322,1191.4999999046322,1183.286,1191.4999999046322,0,0,1191.4999999046322,0,0,,Click Response,Response,1,object-18,main,,1,batata,cross.png,word,filler,,,
4,1680011785335,28/03/2023 13:56:25,1680015385335,1,28/03/2023 15:56:25,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,2,main,main,l6tere,1,response,cross.png,2373.913999952316,2366.572,2373.913999952316,2373.913999952316,2366.572,2373.913999952316,1,0,2373.913999952316,0,0,,Click Response,Response,2,object-19,main,,1,batuiti,cross.png,non,filler,,,
5,1680011786435,28/03/2023 13:56:26,1680015386435,1,28/03/2023 15:56:26,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,3,main,main,l6tere,1,response,cross.png,1107.2419998092646,1099.9560000000001,1107.2419998092646,1107.2419998092646,1099.9560000000001,1107.2419998092646,1,0,1107.2419998092646,0,0,,Click Response,Response,2,object-19,main,,1,fortane,cross.png,non,filler,,,
6,1680011788222,28/03/2023 13:56:28,1680015388222,1,28/03/2023 15:56:28,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,4,main,main,l6tere,1,response,tick.png,1794.4859998569482,1783.2619999999988,1794.4859998569482,1794.4859998569482,1783.2619999999988,1794.4859998569482,1,0,1794.4859998569482,0,0,,Click Response,Response,1,object-18,main,,2,padrasto,tick.png,word,word,,,
7,1680011788934,28/03/2023 13:56:28,1680015388934,1,28/03/2023 15:56:28,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,5,main,main,l6tere,1,response,tick.png,724.1239999523168,716.6380000000008,724.1239999523168,724.1239999523168,716.6380000000008,724.1239999523168,1,0,724.1239999523168,0,0,,Click Response,Response,1,object-18,main,,2,lembrança,tick.png,word,word,,,
8,1680011790051,28/03/2023 13:56:30,1680015390051,1,28/03/2023 15:56:30,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,6,main,main,l6tere,1,response,cross.png,1124.1859999999997,1116.6219999999994,1124.1859999999997,1124.1859999999997,1116.6219999999994,1124.1859999999997,1,0,1124.1859999999997,0,0,,Click Response,Response,2,object-19,main,,2,lareita,cross.png,non,non,,,
9,1680011790854,28/03/2023 13:56:30,1680015390854,1,28/03/2023 15:56:30,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,7,main,main,l6tere,1,response,tick.png,810.4639998569492,799.9680000000008,810.4639998569492,810.4639998569492,799.9680000000008,810.4639998569492,1,0,810.4639998569492,0,0,,Click Response,Response,1,object-18,main,,2,urtiga,tick.png,word,word,,,
10,1680011791784,28/03/2023 13:56:31,1680015391784,1,28/03/2023 15:56:31,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,8,main,main,l6tere,1,response,cross.png,940.5959999999995,933.2960000000003,940.5959999999995,940.5959999999995,933.2960000000003,940.5959999999995,1,0,940.5959999999995,0,0,,Click Response,Response,2,object-19,main,,2,emerro,cross.png,non,non,,,
11,1680011793050,28/03/2023 13:56:33,1680015393050,1,28/03/2023 15:56:33,127819,11,task-gdok,,28492434,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Portuguese lextale,3,ABC,AB,lextpt,9,main,main,l6tere,1,response,tick.png,1273.6999998569481,1266.6159999999982,1273.6999998569481,1273.6999998569481,1266.6159999999982,1273.6999998569481,1,0,1273.6999998569481,0,0,,Click Response,Response,1,object-18,main,,2,hedionda,tick.png,word,word,,,
