Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Spreadsheet: randomise_trials,Manipulation: Spreadsheet
1,1680109440803,29/03/2023 17:04:00,1680091440803,-5,29/03/2023 07:04:00,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680109448511,29/03/2023 17:04:08,1680091448511,-5,29/03/2023 07:04:08,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,7722,7715,7722,7722,7715,7722,1,0,7722,0,0,,Click Response,Response,2,object-5,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_b,1,
3,1680109455643,29/03/2023 17:04:15,1680091455643,-5,29/03/2023 07:04:15,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,7140,7125,7140,7140,7125,7140,1,0,7140,0,0,,Click Response,Response,2,object-5,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,
4,1680109458199,29/03/2023 17:04:18,1680091458199,-5,29/03/2023 07:04:18,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,2571,2567,2571,2571,2567,2571,1,0,2571,0,0,,Click Response,Response,3,object-6,main,As grandes obras são impressionantes.,Os trabalhos não são pequenos.,Os trabalhos são ótimos.,opt_b,1,
5,1680109464764,29/03/2023 17:04:24,1680091464764,-5,29/03/2023 07:04:24,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,6569,6559,6569,6569,6559,6569,1,0,6569,0,0,,Click Response,Response,2,object-5,main,O próprio presidente conversou com a classe.,Muitos anos atrás eles são amigos.,O presidente que já havia falado com a classe.,opt_a,1,
6,1680109469343,29/03/2023 17:04:29,1680091469343,-5,29/03/2023 07:04:29,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,4589,4582,4589,4589,4582,4589,1,0,4589,0,0,,Click Response,Response,3,object-6,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,
7,1680109476068,29/03/2023 17:04:36,1680091476068,-5,29/03/2023 07:04:36,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,6733,6728,6733,6733,6728,6733,1,0,6733,0,0,,Click Response,Response,3,object-6,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_b,1,
8,1680109485289,29/03/2023 17:04:45,1680091485289,-5,29/03/2023 07:04:45,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,9224,9210,9224,9224,9210,9224,1,0,9224,0,0,,Click Response,Response,2,object-5,main,O artigo contém informações certas.,Contém algumas informações.,Ele contém informações que são para verar.,opt_b,1,
9,1680109493499,29/03/2023 17:04:53,1680091493499,-5,29/03/2023 07:04:53,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,8224,8211,8224,8224,8211,8224,1,0,8224,0,0,,Click Response,Response,2,object-5,main,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,1,
10,1680109499335,29/03/2023 17:04:59,1680091499335,-5,29/03/2023 07:04:59,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,9,main,Screen 1,cnypgd,1,response,B,5846,5829,5846,5846,5829,5846,1,0,5846,0,0,,Click Response,Response,3,object-6,main,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,1,
11,1680109520722,29/03/2023 17:05:20,1680091520722,-5,29/03/2023 07:05:20,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,21397,21380,21397,21397,21380,21397,1,0,21397,0,0,,Click Response,Response,2,object-5,main,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,1,
12,1680109520747,29/03/2023 17:05:20,1680091520747,-5,29/03/2023 07:05:20,128242,3,task-6yod,,28522146,BLIND,8477071,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,375x812,375x632,,Interpretation,3,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1680109421203,29/03/2023 17:03:41,1680095021203,-4,29/03/2023 09:03:41,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680109507161,29/03/2023 17:05:07,1680095107161,-4,29/03/2023 09:05:07,128242,3,task-6yod,,28524850,BLIND,8477591,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x657,,Interpretation,3,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,85967.861,85951.185,85967.861,85967.861,85951.185,85967.861,1,0,85967.861,0,0,,Click Response,Response,3,object-6,main,O próprio presidente conversou com a classe.,Muitos anos atrás eles são amigos.,O presidente que já havia falado com a classe.,opt_a,1,
