Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Manipulation: Spreadsheet
1,1680012025661,28/03/2023 14:00:25,1680015625661,1,28/03/2023 16:00:25,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680012034505,28/03/2023 14:00:34,1680015634505,1,28/03/2023 16:00:34,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,8858.302,8849.645999999999,8858.302,8858.302,8849.645999999999,8858.302,1,0,8858.302,0,0,,Click Response,Response,3,object-6,1,main,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,
3,1680012079341,28/03/2023 14:01:19,1680015679341,1,28/03/2023 16:01:19,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,44846.05600009537,44835.187000000005,44846.05600009537,44846.05600009537,44835.187000000005,44846.05600009537,1,0,44846.05600009537,0,0,,Click Response,Response,3,object-6,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (corajoso)",super-heróis corajosos,corajosos super-heróis,opt_b,
4,1680012086721,28/03/2023 14:01:26,1680015686721,1,28/03/2023 16:01:26,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,7391.669000047681,7384.040999999997,7391.669000047681,7391.669000047681,7384.040999999997,7391.669000047681,1,0,7391.669000047681,0,0,,Click Response,Response,3,object-6,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
5,1680012094007,28/03/2023 14:01:34,1680015694007,1,28/03/2023 16:01:34,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,7293.727999952316,7283.866999999998,7293.727999952316,7293.727999952316,7283.866999999998,7293.727999952316,1,0,7293.727999952316,0,0,,Click Response,Response,2,object-5,1,main,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,
6,1680012100372,28/03/2023 14:01:40,1680015700372,1,28/03/2023 16:01:40,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,6374.5610000000015,6366.411999999997,6374.5610000000015,6374.5610000000015,6366.411999999997,6374.5610000000015,1,0,6374.5610000000015,0,0,,Click Response,Response,3,object-6,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras. (aventureiro)",Ming aventureiros,aventureiros Ming,opt_b,
7,1680012392730,28/03/2023 14:06:32,1680015992730,1,28/03/2023 16:06:32,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,292374.04900009534,292360.052,292374.04900009534,292374.04900009534,292360.052,292374.04900009534,1,0,292374.04900009534,0,0,,Click Response,Response,2,object-5,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,
8,1680012429615,28/03/2023 14:07:09,1680016029615,1,28/03/2023 16:07:09,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,36899.79700004769,36884.935,36899.79700004769,36899.79700004769,36884.935,36899.79700004769,1,0,36899.79700004769,0,0,,Click Response,Response,2,object-5,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,
9,1680012441327,28/03/2023 14:07:21,1680016041327,1,28/03/2023 16:07:21,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,11727.261999904644,11716.198000000033,11727.261999904644,11727.261999904644,11716.198000000033,11727.261999904644,1,0,11727.261999904644,0,0,,Click Response,Response,2,object-5,1,main,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,
10,1680012449875,28/03/2023 14:07:29,1680016049875,1,28/03/2023 16:07:29,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,8558.864000095346,8551.081999999995,8558.864000095346,8558.864000095346,8551.081999999995,8558.864000095346,1,0,8558.864000095346,0,0,,Click Response,Response,2,object-5,1,main,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,
