Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Manipulation: Spreadsheet
11,1680012453526,28/03/2023 14:07:33,1680016053526,1,28/03/2023 16:07:33,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,3659.2820000953507,3649.853999999992,3659.2820000953507,3659.2820000953507,3649.853999999992,3659.2820000953507,1,0,3659.2820000953507,0,0,,Click Response,Response,3,object-6,1,main,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,
12,1680012453528,28/03/2023 14:07:33,1680016053528,1,28/03/2023 16:07:33,127819,11,task-t5nj,,28492569,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,collocation,6,ABC,AB,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1680043177868,28/03/2023 22:39:37,1680017977868,-7,28/03/2023 08:39:37,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680043188943,28/03/2023 22:39:48,1680017988943,-7,28/03/2023 08:39:48,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,11079,11047,11079,11079,11047,11079,1,0,11079,0,0,,Click Response,Response,3,object-6,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras. (aventureiro)",Ming aventureiros,aventureiros Ming,opt_b,
3,1680043193605,28/03/2023 22:39:53,1680017993605,-7,28/03/2023 08:39:53,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,4693,4659,4693,4693,4659,4693,1,0,4693,0,0,,Click Response,Response,3,object-6,1,main,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,
4,1680043198472,28/03/2023 22:39:58,1680017998472,-7,28/03/2023 08:39:58,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,4904,4897,4904,4904,4897,4904,1,0,4904,0,0,,Click Response,Response,2,object-5,1,main,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,
5,1680043201268,28/03/2023 22:40:01,1680018001268,-7,28/03/2023 08:40:01,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,2802.0000000000036,2792,2802.0000000000036,2802.0000000000036,2792,2802.0000000000036,1,0,2802.0000000000036,0,0,,Click Response,Response,2,object-5,1,main,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,
6,1680043202288,28/03/2023 22:40:02,1680018002288,-7,28/03/2023 08:40:02,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,1030,1002,1030,1030,1002,1030,1,0,1030,0,0,,Click Response,Response,3,object-6,1,main,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,
7,1680043202940,28/03/2023 22:40:02,1680018002940,-7,28/03/2023 08:40:02,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,680,669,680,680,669,680,1,0,680,0,0,,Click Response,Response,2,object-5,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,
8,1680043203257,28/03/2023 22:40:03,1680018003257,-7,28/03/2023 08:40:03,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,328,301,328,328,301,328,1,0,328,0,0,,Click Response,Response,2,object-5,1,main,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,
9,1680043203424,28/03/2023 22:40:03,1680018003424,-7,28/03/2023 08:40:03,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,195.00000000000364,167,195.00000000000364,195.00000000000364,167,195.00000000000364,1,0,195.00000000000364,0,0,,Click Response,Response,2,object-5,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (corajoso)",super-heróis corajosos,corajosos super-heróis,opt_b,
10,1680043203650,28/03/2023 22:40:03,1680018003650,-7,28/03/2023 08:40:03,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,9,main,Screen 1,cnypgd,1,response,B,253,234,253,253,234,253,1,0,253,0,0,,Click Response,Response,3,object-6,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
11,1680043204154,28/03/2023 22:40:04,1680018004154,-7,28/03/2023 08:40:04,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,10,main,Screen 1,cnypgd,1,response,A,522,501,522,522,501,522,1,0,522,0,0,,Click Response,Response,2,object-5,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,
12,1680043204158,28/03/2023 22:40:04,1680018004158,-7,28/03/2023 08:40:04,127819,11,task-t5nj,,28494574,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x718,,collocation,6,BAC,BA,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1680034753281,28/03/2023 20:19:13,1680020353281,-4,28/03/2023 12:19:13,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680034758000,28/03/2023 20:19:18,1680020358000,-4,28/03/2023 12:19:18,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,B,4733.068000011921,4717,4733.068000011921,4733.068000011921,4717,4733.068000011921,1,0,4733.068000011921,0,0,,Click Response,Response,3,object-6,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (corajoso)",super-heróis corajosos,corajosos super-heróis,opt_b,
3,1680034761159,28/03/2023 20:19:21,1680020361159,-4,28/03/2023 12:19:21,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,3175.568000011921,3166.892,3175.568000011921,3175.568000011921,3166.892,3175.568000011921,1,0,3175.568000011921,0,0,,Click Response,Response,2,object-5,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,
4,1680034762863,28/03/2023 20:19:22,1680020362863,-4,28/03/2023 12:19:22,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,1712.8760000000002,1700.1170000000002,1712.8760000000002,1712.8760000000002,1700.1170000000002,1712.8760000000002,1,0,1712.8760000000002,0,0,,Click Response,Response,2,object-5,1,main,"Nem todo garoto da minha escola é Atlético, mas os _______________ percorrem 7 milhas todos os dias.",meninos fortes,fortes meninos,opt_a,
5,1680034764127,28/03/2023 20:19:24,1680020364127,-4,28/03/2023 12:19:24,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,4,main,Screen 1,cnypgd,1,response,B,1276.458999988079,1266.7450000000008,1276.458999988079,1276.458999988079,1266.7450000000008,1276.458999988079,1,0,1276.458999988079,0,0,,Click Response,Response,3,object-6,1,main,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,
6,1680034764976,28/03/2023 20:19:24,1680020364976,-4,28/03/2023 12:19:24,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,858.7139999880783,850.0630000000001,858.7139999880783,858.7139999880783,850.0630000000001,858.7139999880783,1,0,858.7139999880783,0,0,,Click Response,Response,3,object-6,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
7,1680034766192,28/03/2023 20:19:26,1680020366192,-4,28/03/2023 12:19:26,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,1224.5509999642363,1216.7549999999992,1224.5509999642363,1224.5509999642363,1216.7549999999992,1224.5509999642363,1,0,1224.5509999642363,0,0,,Click Response,Response,2,object-5,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,
8,1680034766999,28/03/2023 20:19:26,1680020366999,-4,28/03/2023 12:19:26,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,815.2959999642371,800.0560000000005,815.2959999642371,815.2959999642371,800.0560000000005,815.2959999642371,1,0,815.2959999642371,0,0,,Click Response,Response,2,object-5,1,main,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,
9,1680034767911,28/03/2023 20:19:27,1680020367911,-4,28/03/2023 12:19:27,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,8,main,Screen 1,cnypgd,1,response,B,927.0399999761576,916.7200000000012,927.0399999761576,927.0399999761576,916.7200000000012,927.0399999761576,1,0,927.0399999761576,0,0,,Click Response,Response,3,object-6,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras. (aventureiro)",Ming aventureiros,aventureiros Ming,opt_b,
10,1680034768800,28/03/2023 20:19:28,1680020368800,-4,28/03/2023 12:19:28,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,A,898.8199999761564,883.4039999999986,898.8199999761564,898.8199999761564,883.4039999999986,898.8199999761564,1,0,898.8199999761564,0,0,,Click Response,Response,2,object-5,1,main,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,
11,1680034770391,28/03/2023 20:19:30,1680020370391,-4,28/03/2023 12:19:30,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,10,main,Screen 1,cnypgd,1,response,B,1606.8160000119206,1600.1080000000002,1606.8160000119206,1606.8160000119206,1600.1080000000002,1606.8160000119206,1,0,1606.8160000119206,0,0,,Click Response,Response,3,object-6,1,main,O professor ensina dois cursos que você pode fazer. Há _______________.,opções várias,várias opções,opt_b,
12,1680034770392,28/03/2023 20:19:30,1680020370392,-4,28/03/2023 12:19:30,127819,11,task-t5nj,,28496768,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,collocation,6,BCA,AB,conds_collocation,,,,,,,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1680046325532,28/03/2023 23:32:05,1680021125532,-7,28/03/2023 09:32:05,127819,11,task-t5nj,,28497593,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,collocation,6,ABC,BA,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680046326818,28/03/2023 23:32:06,1680021126818,-7,28/03/2023 09:32:06,127819,11,task-t5nj,,28497593,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,collocation,6,ABC,BA,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,1297.2319999821184,1287.1319999999996,1297.2319999821184,1297.2319999821184,1287.1319999999996,1297.2319999821184,1,0,1297.2319999821184,0,0,,Click Response,Response,2,object-5,1,main,"Não há super-herói que não seja conhecido por sua bondade, coragem e força. Os _______________ do mundo não têm medo de nada. (corajoso)",super-heróis corajosos,corajosos super-heróis,opt_b,
3,1680046327493,28/03/2023 23:32:07,1680021127493,-7,28/03/2023 09:32:07,127819,11,task-t5nj,,28497593,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,collocation,6,ABC,BA,conds_collocation,2,main,Screen 1,cnypgd,1,response,B,685.0999999821188,668.6400000000003,685.0999999821188,685.0999999821188,668.6400000000003,685.0999999821188,1,0,685.0999999821188,0,0,,Click Response,Response,3,object-6,1,main,Alguns pais estão mais envolvidos na vida de seus filhos do que outros. Os _______________ brinca com seus filhos à noite antes de adormecer. (afetuoso),pais afetuosos,afetuosos pais,opt_a,
4,1680046327798,28/03/2023 23:32:07,1680021127798,-7,28/03/2023 09:32:07,127819,11,task-t5nj,,28497593,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,collocation,6,ABC,BA,conds_collocation,3,main,Screen 1,cnypgd,1,response,A,321.45999998211846,317.60400000000027,321.45999998211846,321.45999998211846,317.60400000000027,321.45999998211846,1,0,321.45999998211846,0,0,,Click Response,Response,2,object-5,1,main,"Há muitos pais na platéia da festa. Há crianças que jogam muito bem, mas as que jogam mal são uma vergonha para os pais. Os _______________ batem palmas e gritam por seus filhos. (orgulhoso)",pais orgulhosos,orgulhosos pais,opt_a,
5,1680046328123,28/03/2023 23:32:08,1680021128123,-7,28/03/2023 09:32:08,127819,11,task-t5nj,,28497593,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,collocation,6,ABC,BA,conds_collocation,4,main,Screen 1,cnypgd,1,response,B,328.95600000596005,317.60399999999936,328.95600000596005,328.95600000596005,317.60399999999936,328.95600000596005,1,0,328.95600000596005,0,0,,Click Response,Response,3,object-6,1,main,"Era apenas uma pessoa, não duas pessoas. Foi a _______________ .",pessoa mesma,mesma pessoa,opt_b,
6,1680046328482,28/03/2023 23:32:08,1680021128482,-7,28/03/2023 09:32:08,127819,11,task-t5nj,,28497593,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,collocation,6,ABC,BA,conds_collocation,5,main,Screen 1,cnypgd,1,response,A,370.6519999880793,367.7520000000004,370.6519999880793,370.6519999880793,367.7520000000004,370.6519999880793,1,0,370.6519999880793,0,0,,Click Response,Response,2,object-5,1,main,"Entre os alunos, sempre há um equilíbrio de inteligência e estupidez em uma escola. Os _______________ estão sempre nas 'classes de honra' (estudioso)",estudantes estudiosos,estudiosos estudantes,opt_a,
7,1680046328775,28/03/2023 23:32:08,1680021128775,-7,28/03/2023 09:32:08,127819,11,task-t5nj,,28497593,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,collocation,6,ABC,BA,conds_collocation,6,main,Screen 1,cnypgd,1,response,B,295.4999999821184,284.17199999999957,295.4999999821184,295.4999999821184,284.17199999999957,295.4999999821184,1,0,295.4999999821184,0,0,,Click Response,Response,3,object-6,1,main,Eu a conheci há muitos anos. É uma _______________.,amigo velho,velho amigo,opt_b,
8,1680046329045,28/03/2023 23:32:09,1680021129045,-7,28/03/2023 09:32:09,127819,11,task-t5nj,,28497593,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,collocation,6,ABC,BA,conds_collocation,7,main,Screen 1,cnypgd,1,response,A,281.82799998211885,267.45600000000013,281.82799998211885,281.82799998211885,267.45600000000013,281.82799998211885,1,0,281.82799998211885,0,0,,Click Response,Response,2,object-5,1,main,Meus amigos não têm dinheiro. São _______________.,amigos pobres,pobres amigos,opt_a,
9,1680046329303,28/03/2023 23:32:09,1680021129303,-7,28/03/2023 09:32:09,127819,11,task-t5nj,,28497593,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,collocation,6,ABC,BA,conds_collocation,8,main,Screen 1,cnypgd,1,response,B,272.5720000000001,267.45600000000013,272.5720000000001,272.5720000000001,267.45600000000013,272.5720000000001,1,0,272.5720000000001,0,0,,Click Response,Response,3,object-6,1,main,"No geral, a dinastia Ming foi uma das mais fortes e bem-sucedidas da história mundial. Os _______________ conquistou muitas terras. (aventureiro)",Ming aventureiros,aventureiros Ming,opt_b,
