Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6328b2645e7c8a21ea88734c,5c163e51d47b0000014a7821,AWAITING REVIEW,2022-09-19T18:18:12.545000Z,2022-09-19T18:21:27.716000Z,,2022-09-19T18:21:28.108849Z,196,CBREWR4A,444,5,98,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
6328b266dac4ef0ca4d34c8a,5bf1a218f5e4460001e033c6,AWAITING REVIEW,2022-09-19T18:18:16.894000Z,2022-09-19T18:24:29.935000Z,,2022-09-19T18:24:30.335820Z,374,NOCODE,221,4,99,23,Male,White,Brazil,Portugal,Brazil,Portuguese,Yes,Full-Time
6328b2670a7e7fd92782cd43,5d8794b64a462d001a65469d,AWAITING REVIEW,2022-09-19T18:18:15.917000Z,2022-09-19T18:21:54.282000Z,,2022-09-19T18:21:54.727574Z,219,CBREWR4A,250,0,100,26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b26755273fba513fb2a8,61093d97f7bf8a4f8117eb82,AWAITING REVIEW,2022-09-19T18:18:38.999000Z,2022-09-19T18:22:49.432000Z,,2022-09-19T18:22:49.845722Z,251,CBREWR4A,198,2,100,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
6328b267bffd20231e82cd3b,5c1bb460a05a64000125c522,AWAITING REVIEW,2022-09-19T18:18:15.219000Z,2022-09-19T18:20:35.345000Z,,2022-09-19T18:20:35.671392Z,141,CBREWR4A,488,3,100,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6328b269a2f6f1e9249e5b6f,5b3a48e8b6b4410001613060,AWAITING REVIEW,2022-09-19T18:18:17.126000Z,2022-09-19T18:25:07.960000Z,,2022-09-19T18:25:08.605668Z,411,CBREWR4A,399,2,100,29,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
6328b269f457cf11c2a90748,5e9774d2837b810ebe32666e,AWAITING REVIEW,2022-09-19T18:18:23.004000Z,2022-09-19T18:24:35.716000Z,,2022-09-19T18:24:36.114701Z,373,CBREWR4A,256,2,100,36,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b26be1118e2b808872da,5ec8fb6238d8e23ed46c9b00,AWAITING REVIEW,2022-09-19T18:18:19.566000Z,2022-09-19T18:25:00.554000Z,,2022-09-19T18:25:01.244252Z,401,CBREWR4A,329,1,100,25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6328b26e02dff9aee0713aa6,616c3f3a378cb38f3f7ecac3,AWAITING REVIEW,2022-09-19T18:27:53.397000Z,2022-09-19T18:41:03.940000Z,,2022-09-19T18:41:04.584160Z,791,CBREWR4A,319,12,94,53,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6328b26e4c8277327b6bde4d,60319c4ae7fec011b90a5410,AWAITING REVIEW,2022-09-19T18:18:22.821000Z,2022-09-19T18:21:34.280000Z,,2022-09-19T18:21:34.779970Z,192,CBR42,44,1,98,19,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
