port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,pre_post,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,32.5884,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,1,23.0514,0,0,0,1,1,Ese libro es la edición del año pasado - necesitamos el ________,libro nuevo,nuevo libro,opt_b,pre,,,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,1,37.6043,0,1,1,5,1,Algunos padres son más involucrados en la vida de sus hijos que otros. Los _______________ juegan con sus hijos por la noche antes de que se duerman. (cariñosos),padres cariñosos,cariñosos padres,opt_a,post,,,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,1,13.5322,0,2,2,7,1,"Hay muchos padres en la audiencia del partido. Hay niños que juegan muy bien, pero los que juegan mal son una vergüenza a sus padres. Los _______________ aplauden y gritan por sus hijos. (orgulloso)",padres orgullosos,orgullosos padres,opt_a,post,,,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,0,21.4544,0,3,3,2,1,He conocido a ella por muchos años. Es una _______________.,amiga vieja,vieja amiga,opt_b,pre,,,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,0,28.7826,0,4,4,0,1,"No hay super-héroe que no sea conocido por su bondad, coraje y fuerza. Los  _______________ del mundo no tienen miedo de nada. (valientes)",super-héroes valientes,valientes super-héroes,opt_b,pre,,,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,1,5.0244,0,5,5,9,1,Mis amigos no tienen dinero. Son _______________.,amigos pobres,pobres amigos,opt_a,post,,,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,1,10.3758,0,6,6,8,1,"Entre los alumnos, siempre hay un equilibrio de inteligencia y estupidez en una escuela. Los _______________ siempre están en las clases de ‘honor.’ (estudioso)",estudiantes estudiosos,estudiosos estudiantes,opt_a,post,,,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,1,6.1272,0,7,7,6,1,"No todo chico en mi escuela es atlético, pero los _______________ chicos corren 7 millas cada día.",chicos fuertes,fuertes chicos,opt_a,post,,,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,0,5.0219,0,8,8,4,1,"Era solo una persona, no dos personas. Era la _______________ .",persona misma,misma persona,opt_b,pre,,,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,0,5.2351,0,9,9,3,1,El profesor enseña dos cursos que puedes tomar. Hay _______________. ,opciones varias,varias opciones,opt_b,pre,,,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,,,,,,space,2.0297,,,,,,,,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,El cuadro grande es muy caro.,El cuadro es impresionante y cuesta mucho dinero,El cuadro es enorme y cuesta mucho dinero,opt_b,,,,0,12.2023,0,0,0,0,1,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,Mi amigo viejo viene a comer con nosotros ,Mi amigo ha sido mi amigo por muchos años,Mi amigo es mayor,opt_b,,,,0,11.9345,0,1,1,1,1,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,Santiago compró una nueva computadora.,La computadora era 100% nueva.,Compró otra computadora.,opt_a,,,,0,8.6354,0,2,2,5,1,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,Mariela es una vieja amiga de Florencia.,Hace muchos años que son amigas.,Mariela es vieja.,opt_a,,,,1,5.2029,0,3,3,8,1,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,Sus padres hablan una rara lengua.,Hablan una lengua que muy poca gente habla.,Hablan una lengua extraña.,opt_b,,,,0,11.4235,0,4,4,3,1,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,Las grandes obras son impresionantes.,Las obras no son pequeñas.,Las obras son grandiosas.,opt_b,,,,0,4.3782,0,5,5,2,1,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,Mi abuela tiene dos lámparas antiguas en el salón.,Tiene dos lámparas viejas en el salón.,Tiene dos lámparas del salón que reliquías.,opt_a,,,,1,19.2118,0,6,6,6,1,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,Marta es la persona única de quien te hablé.,"No te hablé de nadie más, aparte de Marta.","No hay nadie (tan especial) como Marta, la de que te hablé.",opt_b,,,,0,9.9072,0,7,7,4,1,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,En esa casa vive un hombre solo.,Solo vive un hombre en la casa.,El hombre se siente solo.,opt_a,,,,1,11.818,0,8,8,7,1,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,El mismo presidente habló con la clase.,"El presidente, y no otra persona, habló con las clase.",El presidente que ya había estado habló con la clase.,opt_a,,,,1,10.2588,0,9,9,9,1,,
,,60be4d9e7f4d10be1c1b2cc7,001,2022-09-19_23h18.42.379,rothman_exp,2022.2.3,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,space,9.2044
