port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,pre_post,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,28.156,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,,,,,,,,,,,,,,,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,1,12.62,0,0,0,7,1,"Hay muchos padres en la audiencia del partido. Hay niños que juegan muy bien, pero los que juegan mal son una vergüenza a sus padres. Los _______________ aplauden y gritan por sus hijos. (orgulloso)",padres orgullosos,orgullosos padres,opt_a,post,,,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,1,13.151,0,1,1,5,1,Algunos padres son más involucrados en la vida de sus hijos que otros. Los _______________ juegan con sus hijos por la noche antes de que se duerman. (cariñosos),padres cariñosos,cariñosos padres,opt_a,post,,,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,0,4.274,0,2,2,2,1,He conocido a ella por muchos años. Es una _______________.,amiga vieja,vieja amiga,opt_b,pre,,,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,1,4.69,0,3,3,9,1,Mis amigos no tienen dinero. Son _______________.,amigos pobres,pobres amigos,opt_a,post,,,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,0,6.56,0,4,4,4,1,"Era solo una persona, no dos personas. Era la _______________ .",persona misma,misma persona,opt_b,pre,,,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,0,5.76,0,5,5,1,1,Ese libro es la edición del año pasado - necesitamos el ________,libro nuevo,nuevo libro,opt_b,pre,,,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,0,5.986,0,6,6,3,1,El profesor enseña dos cursos que puedes tomar. Hay _______________. ,opciones varias,varias opciones,opt_b,pre,,,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,1,12.494,0,7,7,0,1,"No hay super-héroe que no sea conocido por su bondad, coraje y fuerza. Los  _______________ del mundo no tienen miedo de nada. (valientes)",super-héroes valientes,valientes super-héroes,opt_b,pre,,,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,1,17.187,0,8,8,6,1,"No todo chico en mi escuela es atlético, pero los _______________ chicos corren 7 millas cada día.",chicos fuertes,fuertes chicos,opt_a,post,,,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,1,24.076,0,9,9,8,1,"Entre los alumnos, siempre hay un equilibrio de inteligencia y estupidez en una escuela. Los _______________ siempre están en las clases de ‘honor.’ (estudioso)",estudiantes estudiosos,estudiosos estudiantes,opt_a,post,,,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,,,,,,,,,,,,,space,1.682,,,,,,,,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,,,,,,,,Santiago compró una nueva computadora.,La computadora era 100% nueva.,Compró otra computadora.,opt_a,,,,1,4.638,0,0,0,5,1,,
,,5f4c1b5626199983e1285d83,001,2022-09-19_16h23.11.348,rothman_exp,2022.2.3,MacIntel,41.66666667,,,,,,,,Las grandes obras son impresionantes.,Las obras no son pequeñas.,Las obras son grandiosas.,opt_b,,,,1,18.025,0,1,1,2,1,,
