port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,pre_post,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,28.5607,5e62aca37820fe04614b5ffa,001,2022-09-19_18h23.46.116,rothman_exp,2022.2.3,Win32,20.00360065,,,,,,,,,,,,,,,,,,,,,,,
,,5e62aca37820fe04614b5ffa,001,2022-09-19_18h23.46.116,rothman_exp,2022.2.3,Win32,20.00360065,0,11.3862,0,0,0,3,1,El profesor enseña dos cursos que puedes tomar. Hay _______________. ,opciones varias,varias opciones,opt_b,pre,,,,,,,,,,,
,,5e62aca37820fe04614b5ffa,001,2022-09-19_18h23.46.116,rothman_exp,2022.2.3,Win32,20.00360065,1,13.1765,0,1,1,6,1,"No todo chico en mi escuela es atlético, pero los _______________ chicos corren 7 millas cada día.",chicos fuertes,fuertes chicos,opt_a,post,,,,,,,,,,,
,,5e62aca37820fe04614b5ffa,001,2022-09-19_18h23.46.116,rothman_exp,2022.2.3,Win32,20.00360065,1,8.9548,0,2,2,8,1,"Entre los alumnos, siempre hay un equilibrio de inteligencia y estupidez en una escuela. Los _______________ siempre están en las clases de ‘honor.’ (estudioso)",estudiantes estudiosos,estudiosos estudiantes,opt_a,post,,,,,,,,,,,
,,5e62aca37820fe04614b5ffa,001,2022-09-19_18h23.46.116,rothman_exp,2022.2.3,Win32,20.00360065,0,11.1257,0,3,3,4,1,"Era solo una persona, no dos personas. Era la _______________ .",persona misma,misma persona,opt_b,pre,,,,,,,,,,,
,,5e62aca37820fe04614b5ffa,001,2022-09-19_18h23.46.116,rothman_exp,2022.2.3,Win32,20.00360065,0,9.9018,0,4,4,1,1,Ese libro es la edición del año pasado - necesitamos el ________,libro nuevo,nuevo libro,opt_b,pre,,,,,,,,,,,
,,5e62aca37820fe04614b5ffa,001,2022-09-19_18h23.46.116,rothman_exp,2022.2.3,Win32,20.00360065,1,17.4203,0,5,5,0,1,"No hay super-héroe que no sea conocido por su bondad, coraje y fuerza. Los  _______________ del mundo no tienen miedo de nada. (valientes)",super-héroes valientes,valientes super-héroes,opt_b,pre,,,,,,,,,,,
,,5e62aca37820fe04614b5ffa,001,2022-09-19_18h23.46.116,rothman_exp,2022.2.3,Win32,20.00360065,0,2.4385,0,6,6,2,1,He conocido a ella por muchos años. Es una _______________.,amiga vieja,vieja amiga,opt_b,pre,,,,,,,,,,,
,,5e62aca37820fe04614b5ffa,001,2022-09-19_18h23.46.116,rothman_exp,2022.2.3,Win32,20.00360065,1,7.0668,0,7,7,9,1,Mis amigos no tienen dinero. Son _______________.,amigos pobres,pobres amigos,opt_a,post,,,,,,,,,,,
,,5e62aca37820fe04614b5ffa,001,2022-09-19_18h23.46.116,rothman_exp,2022.2.3,Win32,20.00360065,1,5.1056,0,8,8,5,1,Algunos padres son más involucrados en la vida de sus hijos que otros. Los _______________ juegan con sus hijos por la noche antes de que se duerman. (cariñosos),padres cariñosos,cariñosos padres,opt_a,post,,,,,,,,,,,
