port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,pre_post,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
space,24.9277,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,,,,,,,,,,,,,,,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,0,4.6969,0,0,0,2,1,He conocido a ella por muchos años. Es una _______________.,amiga vieja,vieja amiga,opt_b,pre,,,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,0,4.861,0,1,1,4,1,"Era solo una persona, no dos personas. Era la _______________ .",persona misma,misma persona,opt_b,pre,,,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,1,13.4561,0,2,2,8,1,"Entre los alumnos, siempre hay un equilibrio de inteligencia y estupidez en una escuela. Los _______________ siempre están en las clases de ‘honor.’ (estudioso)",estudiantes estudiosos,estudiosos estudiantes,opt_a,post,,,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,1,17.7637,0,3,3,7,1,"Hay muchos padres en la audiencia del partido. Hay niños que juegan muy bien, pero los que juegan mal son una vergüenza a sus padres. Los _______________ aplauden y gritan por sus hijos. (orgulloso)",padres orgullosos,orgullosos padres,opt_a,post,,,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,1,5.1792,0,4,4,1,1,Ese libro es la edición del año pasado - necesitamos el ________,libro nuevo,nuevo libro,opt_b,pre,,,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,1,3.6421,0,5,5,6,1,"No todo chico en mi escuela es atlético, pero los _______________ chicos corren 7 millas cada día.",chicos fuertes,fuertes chicos,opt_a,post,,,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,1,5.2591,0,6,6,5,1,Algunos padres son más involucrados en la vida de sus hijos que otros. Los _______________ juegan con sus hijos por la noche antes de que se duerman. (cariñosos),padres cariñosos,cariñosos padres,opt_a,post,,,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,1,6.9718,0,7,7,9,1,Mis amigos no tienen dinero. Son _______________.,amigos pobres,pobres amigos,opt_a,post,,,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,0,12.6084,0,8,8,0,1,"No hay super-héroe que no sea conocido por su bondad, coraje y fuerza. Los  _______________ del mundo no tienen miedo de nada. (valientes)",super-héroes valientes,valientes super-héroes,opt_b,pre,,,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,0,6.7326,0,9,9,3,1,El profesor enseña dos cursos que puedes tomar. Hay _______________. ,opciones varias,varias opciones,opt_b,pre,,,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,,,,,,,,,,,,,space,1.5205,,,,,,,,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,,,,,,,,Sus padres hablan una rara lengua.,Hablan una lengua que muy poca gente habla.,Hablan una lengua extraña.,opt_b,,,,0,9.6131,0,0,0,3,1,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,,,,,,,,Mariela es una vieja amiga de Florencia.,Hace muchos años que son amigas.,Mariela es vieja.,opt_a,,,,1,5.6853,0,1,1,8,1,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,,,,,,,,Santiago compró una nueva computadora.,La computadora era 100% nueva.,Compró otra computadora.,opt_a,,,,0,6.6993,0,2,2,5,1,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,,,,,,,,El mismo presidente habló con la clase.,"El presidente, y no otra persona, habló con las clase.",El presidente que ya había estado habló con la clase.,opt_a,,,,1,5.3626,0,3,3,9,1,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,,,,,,,,Mi amigo viejo viene a comer con nosotros ,Mi amigo ha sido mi amigo por muchos años,Mi amigo es mayor,opt_b,,,,0,4.9182,0,4,4,1,1,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,,,,,,,,Mi abuela tiene dos lámparas antiguas en el salón.,Tiene dos lámparas viejas en el salón.,Tiene dos lámparas del salón que reliquías.,opt_a,,,,1,5.46,0,5,5,6,1,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,,,,,,,,En esa casa vive un hombre solo.,Solo vive un hombre en la casa.,El hombre se siente solo.,opt_a,,,,1,9.7934,0,6,6,7,1,,
,,613ad089983f33fc8194d601,001,2022-09-19_16h20.01.206,rothman_exp,2022.2.3,Win32,59.50609938,,,,,,,,Las grandes obras son impresionantes.,Las obras no son pequeñas.,Las obras son grandiosas.,opt_b,,,,0,4.902,0,7,7,2,1,,
